1303478
/m/04rbfh
/m/04rbfh
John Steinbeck
1935
1 1
10 1
1000 1
11 1
115 1
12 1
13 1
14 1
15 1
16 1
17 1
2 3
25 1
250 1
3 2
4 1
5 2
6 1
600 1
7 1
8 1
a 51
about 1
accidentally 1
actually 1
adequately 1
advantage 1
adventures 1
adverse 1
after 5
afterward 1
again 2
aid 1
aiding 1
all 6
alone 1
along 1
also 1
amazingly 1
an 2
and 55
andrew 2
approval 1
arabella 1
are 4
army 1
arrival 1
as 3
asks 1
assaulted 1
assisted 1
at 8
attack 1
attained 1
attention 1
away 1
babies 2
baby 4
bag 3
be 5
beach 2
beam 1
bean 1
beans 3
beaten 2
beating 1
became 3
because 2
becomes 1
been 1
before 1
beforehand 1
befriends 1
behind 1
being 2
believes 1
big 2
bill 1
blanket 2
blew 2
bob 2
bond 1
brandy 1
brings 1
brooded 1
burn 1
burned 1
burns 2
but 5
buy 4
by 15
came 1
candle 1
candlestick 4
cannot 2
capitn 1
carlos 1
cash 1
cents 1
challenges 1
changed 1
chapter 2
charity 1
child 1
children 3
chin 1
church 2
circumstances 1
cleaned 1
cleaner 2
clever 1
comes 1
comradeship 1
contentedly 1
contrition 1
conventions 1
convincing 1
copper 1
corcoran 1
cornelia 1
corporal 2
cortez 1
crime 1
crop 1
cutting 1
danny 38
day 2
deceased 1
dedicated 1
deemed 1
deeply 1
defied 1
delivers 1
departed 1
deposit 1
determined 1
devil 1
did 1
dies 2
dig 1
dime 1
dinner 1
dipsomaniacal 1
disappears 1
discuss 1
distressed 1
doctor 1
dog 2
dogs 4
doing 3
door 3
down 2
drank 1
dress 1
drink 2
drinks 1
droves 1
drunk 3
during 1
each 1
earned 1
effect 1
electricity 3
elevation 1
emilio 1
endeavor 1
endure 1
enjoy 1
enjoys 3
ensnared 1
escaping 1
ethics 1
eve 2
evening 1
every 1
everyone 1
evil 2
exactly 2
exchanges 1
explains 1
fails 1
faint 1
fall 1
father 2
favors 1
feast 1
feet 1
fending 1
fields 1
fight 2
finally 1
find 1
finds 1
fire 1
firewood 1
flat 1
floor 1
followed 1
following 1
food 2
for 20
force 1
forest 2
forsake 1
fortyfoot 1
found 4
fr 1
francis 6
friend 3
friends 18
friendship 1
from 14
funeral 1
gallon 1
gallons 1
gave 1
generl 1
gentle 1
geodetic 1
get 3
gets 1
gift 1
girlfriend 1
give 1
given 1
gleans 1
god 1
goes 3
gold 1
golden 1
good 3
got 1
gotten 1
gracie 1
grandfather 1
great 2
greed 1
group 1
guilted 1
gulch 2
half 1
handicapped 1
hanged 1
hanging 1
happens 1
happiness 1
has 12
he 22
health 1
healthy 2
heir 1
help 1
helpless 1
her 5
herself 1
hidden 1
him 10
himself 4
his 19
holy 1
home 2
hospitality 1
host 1
house 12
housemates 1
houses 2
how 32
however 1
humming 1
if 1
ignacia 1
in 17
inherited 1
instead 1
into 8
invited 1
is 17
it 7
its 1
jail 3
jailer 1
jesus 7
joe 8
just 1
kee 1
keep 2
kills 1
kindling 1
known 1
labeled 1
lady 1
later 2
laughed 1
leave 1
leaving 1
leg 1
lesson 1
life 1
likes 1
little 1
live 1
lives 1
local 1
lost 1
love 4
lunch 1
lured 1
lust 1
machine 1
mad 1
madonna 1
makes 3
man 7
many 1
maria 7
mark 1
may 1
men 3
menagerie 1
mentally 1
merit 1
middle 2
midst 1
military 1
miracle 1
misses 1
moment 2
money 3
monterey 2
morales 1
most 1
motor 1
move 1
moves 1
mr 1
mrs 2
muddy 1
muledriver 1
must 2
mystic 1
nails 1
naked 1
named 1
never 1
nevertheless 1
next 2
night 2
nine 1
no 4
nobody 1
nose 1
not 2
nothing 2
nov 1
of 37
off 2
old 1
on 9
one 1
only 1
or 1
order 1
other 1
out 1
outline 1
over 4
ownership 1
pablo 10
pain 1
pair 1
paisano 1
pan 1
pants 2
paper 1
particular 1
party 2
paternal 1
pay 1
payment 1
pays 1
peace 1
petey 2
picnic 1
pig 2
pilon 17
pine 1
pirate 12
poison 1
policeman 1
poor 1
portagee 3
position 1
possessions 1
preaches 1
pregnant 1
prepares 1
present 1
pretend 2
pretends 1
procure 1
produces 1
promise 1
promised 1
protect 1
punish 1
punishment 1
pushing 1
put 1
quarters 4
rain 3
ramirez 1
ramon 2
ravanno 2
realizing 1
received 1
recovered 1
recovers 1
red 1
regain 1
remaining 1
remorseful 1
removed 1
rent 1
rents 1
rescued 2
responsible 1
rest 1
return 1
returns 2
reveals 1
reward 1
right 1
road 1
rooster 1
roses 1
ruined 1
ruins 1
run 2
rush 1
sacks 1
sacrifice 1
sadness 1
saint 2
sale 1
same 1
san 1
save 2
saves 1
saw 2
school 1
scraps 1
seaside 1
second 2
see 1
seek 1
seemingly 1
sees 1
selling 1
seora 1
serge 1
set 1
several 1
shape 1
share 1
shared 1
sharing 1
she 2
shopkeep 1
short 1
shouldnt 1
shows 1
shut 1
sick 3
sickly 1
simon 1
since 1
sincerity 1
sinful 1
sings 1
sleep 2
small 1
smelling 1
smoking 1
