34485490
/m/0j272pg
/m/0j272pg
Norman Spinrad

160s 1
a 16
able 1
aboard 1
abrupt 1
addicted 1
adolescents 1
adopted 1
adopts 2
adult 1
after 1
age 2
all 1
amount 1
an 4
and 12
are 3
arrive 1
art 1
as 6
attention 1
attracts 1
author 1
autobiographical 1
back 1
basis 1
becomes 2
begins 1
belshazaar 1
belshazar 1
between 1
bloomenwald 2
boca 1
book 1
burns 1
by 5
called 1
carnivalesque 1
chaos 1
charge 1
child 2
childhood 2
children 5
chooses 1
city 1
complete 1
composition 1
contains 1
convinces 1
culture 1
disappearance 1
drug 1
drugs 1
duties 1
dying 1
ecosystem 1
ecstatic 1
edoku 2
electronic 1
elements 1
embark 1
ending 1
ends 2
entire 1
eternal 1
eventually 1
expected 1
experiences 1
fairly 1
falls 1
fictional 1
find 1
finds 1
first 1
flower 1
for 1
force 1
forest 2
fortune 6
freenom 2
from 1
gives 1
glade 1
go 1
group 2
guy 1
gypsy 2
have 1
he 1
hedonistic 1
her 12
his 1
historie 1
home 2
honored 1
in 3
includes 1
induce 1
interstellar 1
intoxicants 1
introduction 1
is 8
it 1
jokers 2
journey 3
kind 2
known 4
large 1
lead 1
leader 1
leaves 2
leonardo 3
life 3
lives 1
long 1
love 1
mammals 1
many 1
maturity 1
mendicant 1
money 2
moussa 2
name 3
named 1
narrator 1
naturally 1
never 1
novel 1
occurring 1
of 26
on 3
only 2
original 1
pan 4
passage 1
passengers 1
pater 4
perform 1
pied 1
piper 1
planet 2
planetsized 1
plethora 1
pollination 1
presented 1
psychedelic 1
quickly 1
reality 1
region 1
remain 1
return 1
ring 1
rite 1
ruespieler 1
ruespieling 1
sample 1
second 2
selfdiscovery 1
sexenhancing 1
shasta 3
she 4
ships 1
small 1
so 1
some 1
source 1
spending 1
starfaring 2
story 4
storytelling 1
sunshine 6
tale 2
teaches 1
terrible 1
that 2
the 36
their 2
there 1
they 1
this 2
through 3
ticket 1
to 9
trapped 1
travels 1
trees 1
typically 1
use 1
vision 1
vlad 1
void 1
waderjahr 1
wanderer 1
wanderers 1
wanderjahr 3
wealthy 1
wendi 4
when 2
where 1
which 1
who 2
whole 1
will 2
with 3
wondrous 1
work 1
written 1
