20618843
/m/0520yv2
/m/0520yv2
Lawrence Lessig
2008
8 1
a 7
age 1
amateur 2
and 7
antiquated 1
appropriation 2
are 2
as 2
availability 1
available 1
be 1
between 1
beyond 1
book 1
but 1
cannot 1
children 2
commons 1
comprehend 1
context 1
control 1
copy 1
copyright 4
corrosive 1
creative 2
criminalized 1
current 1
daily 1
deems 1
describes 1
digital 4
disjuncture 1
doing 1
download 1
every 1
extend 1
extended 1
far 1
for 1
form 1
free 1
generation 1
generations 1
growing 2
harvard 1
has 1
he 1
illegal 2
implications 1
in 5
insists 3
is 9
it 2
know 1
knowledge 1
law 3
lawrence 1
lessig 4
licenses 1
life 1
literacy 1
making 1
manipulation 1
media 1
most 1
multimedia 1
notion 1
now 2
of 8
one 1
only 2
outcome 1
permeate 1
previous 1
previously 1
professional 1
professor 1
reading 1
relative 1
remix 2
remixing 1
respected 1
simplicity 1
since 1
societal 1
stands 1
stopped 1
technologies 3
technology 2
tension 1
that 7
the 11
their 1
these 1
they 1
this 1
thus 2
time 1
to 3
today 1
unable 1
under 2
unprecedented 1
up 2
use 3
vernacular 1
voice 1
wars 2
was 1
what 3
where 1
why 1
work 1
world 1
writing 1
you 1
