5936812
/m/0fff6n
/m/0fff6n
Marc Levy
1999
a 5
accident 2
after 2
and 1
anyone 1
apartment 1
arthur 1
as 1
at 1
auto 1
awareness 1
body 1
by 1
can 1
chose 1
clock 1
coma 1
comatose 1
communicate 1
completely 1
could 1
dealing 1
devoted 1
disbelief 1
discovered 1
emergency 1
fall 1
francisco 1
frustrated 1
got 1
he 1
hear 1
her 5
his 1
hospital 1
in 2
initial 1
into 2
is 2
kline 1
lauren 2
love 1
man 1
medical 1
memorial 1
most 1
not 1
of 4
old 1
on 1
only 1
or 1
outside 1
over 1
part 1
patients 1
place 1
pretty 1
renting 1
resident 1
result 1
room 1
round 1
san 1
see 1
serious 1
she 6
some 1
spend 1
still 1
that 1
the 5
they 1
time 1
to 3
took 1
touch 1
until 1
was 1
went 1
where 1
while 1
who 1
with 2
woke 1
work 1
worked 1
young 1
