10574988
/m/02qj6hl
/m/02qj6hl
Sam Shepard

1 1
a 8
abilities 1
act 3
advises 1
after 2
against 1
an 5
and 5
assuming 1
astrology 1
attack 1
attempt 1
attempts 1
authentic 1
backup 1
basis 1
battle 2
becky 1
become 1
been 1
before 1
begs 1
belief 1
bluesman 1
busted 1
by 5
calls 1
challenging 1
changed 1
commends 1
commit 1
committed 1
confidence 1
conflation 1
cope 1
crackin 1
crow 7
decides 1
delta 1
described 1
desperate 1
despite 1
direction 1
dominated 1
doubting 1
due 1
duel 1
dying 1
each 1
eager 1
effective 1
encroached 1
ends 1
exacerbate 1
exposes 1
face 1
fear 1
fiction 1
fight 2
find 2
for 2
force 1
friend 1
from 3
frustrated 1
future 1
game 1
getting 1
guidance 1
gunslinger 1
gypsies 1
gypsy 2
has 4
he 4
her 1
him 4
himself 2
his 11
hoss 12
however 1
ii 1
imitate 1
in 6
inability 1
intimidates 1
is 4
it 1
keepers 1
killing 2
las 1
last 1
learns 2
legality 1
little 1
loses 1
loyalty 1
make 1
marker 1
markers 1
mojo 1
move 1
music 1
new 1
of 10
official 2
old 3
on 5
only 2
operate 1
opposition 1
ostensibly 1
other 1
out 1
outing 1
outside 1
own 1
perk 1
place 1
play 2
played 1
psych 1
questionable 1
quickly 1
ref 1
referee 1
revelations 1
rival 1
rock 1
root 1
round 1
rules 1
science 1
second 1
selfdoubt 1
set 1
shifting 1
shiv 2
starman 1
status 1
struggled 1
style 2
successive 1
suicide 1
takes 1
taking 1
teach 1
territory 1
that 5
the 19
these 1
throne 1
to 14
top 1
two 1
ultimately 1
under 2
up 1
upon 1
vaguely 1
vegas 2
violence 1
voice 2
walk 1
way 2
western 1
when 2
which 3
while 1
who 1
willard 2
with 3
word 1
words 1
