26373459
/m/0bbvyy5
/m/0bbvyy5
Dmitry Glukhovsky
2002
2013 1
2033 1
20year 1
a 42
about 5
across 1
actually 1
adjacent 1
adoptive 1
advanced 1
affairs 1
after 5
again 1
against 1
agony 1
all 2
allowing 1
alone 1
already 1
an 6
and 51
another 2
anton 2
apprehended 1
are 8
arrives 2
arriving 1
artyom 31
as 5
asks 2
at 9
attack 1
attacked 1
attacking 1
attempt 1
authorities 1
baby 1
back 2
be 4
because 1
become 1
been 4
before 1
befriends 1
begin 2
behind 1
believes 1
bets 1
bioweapon 1
blackmails 1
book 1
born 1
botanical 2
both 3
bourbon 5
brahmin 1
brahmins 1
break 1
briefly 1
brother 1
buildings 1
but 6
by 15
called 1
calls 1
canister 1
cannibals 3
caravan 1
carnivorous 1
cartridges 1
case 2
certain 1
checks 1
chief 1
child 3
colleagues 1
comes 2
commander 2
commonwealth 1
communicate 1
completing 1
conditions 1
connect 1
consumes 1
contains 1
continues 1
control 1
cooperate 1
coordinates 2
council 2
creatures 1
cult 1
d6 4
daniel 4
dark 6
day 4
decide 1
decides 1
decline 1
despite 1
destination 2
destroyed 1
dies 1
direct 1
direction 1
disappearances 1
disappears 1
disaster 1
discovers 1
discuss 3
discussion 1
do 1
does 1
doing 1
done 1
dropped 1
duo 3
during 2
end 1
ends 1
entrance 3
equipment 1
escape 1
escapes 2
escorting 1
especially 1
even 1
eventually 4
exchange 1
executed 1
expedition 2
explains 1
extremely 1
farther 1
father 1
feast 1
fellow 1
fend 1
fighting 1
finally 1
find 2
finds 2
fire 1
first 1
flamethrower 1
fleeing 1
for 10
force 1
forces 1
fourth 1
from 6
fundamentalist 1
gardens 2
gas 1
gather 2
get 1
gets 1
getting 1
give 1
given 1
go 3
god 1
goes 2
going 2
gone 1
good 1
government 2
great 2
grew 1
group 1
guard 3
guards 1
had 1
half 1
hanseatic 1
has 8
have 1
he 23
heads 1
hell 1
help 4
helps 3
her 1
here 1
high 1
him 16
himself 1
his 12
holocaust 2
home 1
hope 1
horde 1
hostage 1
hostages 1
humans 2
hunter 6
hypnotizes 1
if 1
important 1
in 13
information 1
informed 1
informs 2
injures 1
inquires 1
insanity 1
inside 1
inspired 1
into 4
is 17
it 6
journey 4
just 2
keep 1
khan 1
kievskaya 1
killed 5
killing 2
kitaigorod 1
knocked 1
koltsevaya 1
kremlin 1
kuznetsky 1
lair 1
large 1
late 1
later 1
launching 1
league 1
leaving 1
left 1
librarians 1
library 3
line 1
living 1
local 1
location 1
lone 1
look 1
looking 1
looting 1
lose 1
lost 1
luckily 1
major 1
make 4
makes 2
man 6
managing 1
manure 1
many 2
map 1
mark 1
mask 1
mayakovskaya 1
meant 1
meet 1
meeting 2
meets 5
melnik 13
member 1
message 2
metro 2
metro2 3
metrostation 1
military 1
missile 1
missiles 4
moment 1
monastery 1
monster 1
monsters 2
most 2
mother 1
murdering 1
musicmaker 1
mutated 1
mysterious 3
named 3
namely 1
need 1
next 3
night 1
no 2
not 2
novel 1
nuclear 2
number 1
obviously 1
occupied 1
occurred 1
odds 1
of 23
off 2
offers 2
officer 1
old 3
oleg 4
on 7
once 1
one 5
ones 6
or 1
ostankino 2
out 2
outside 3
overhears 1
park 2
partner 2
party 1
pass 1
passport 1
patrol 1
paveletskaya 1
paveletskayakoltsevaya 1
people 2
person 1
plan 2
planned 1
pobedy 2
point 1
polis 5
polyanka 1
posts 1
powerful 1
previously 1
prewar 1
progress 1
promise 1
promises 1
protagonist 1
protected 1
quarters 1
race 1
raised 1
rat 1
rats 2
reach 1
realising 1
reason 1
receive 1
receives 1
regains 1
reich 2
remaining 1
remnant 1
rescued 3
residents 1
retreat 1
retrieve 1
return 2
returns 1
revolutionaries 1
room 1
route 1
runs 1
russian 1
savage 2
saved 1
scientists 1
secret 1
sect 1
security 2
seemingly 1
seems 2
selfcontrol 1
serpukhovskaya 1
several 2
shelter 2
shift 2
shoots 1
should 1
shovel 1
since 3
situation 3
slips 1
smolenskaya 1
somehow 1
sometimes 1
soon 1
sorts 1
speech 1
spill 1
split 1
stalker 1
stalkers 3
station 12
stations 1
stay 1
stop 2
strange 1
stranger 1
subway 1
sukhoi 4
supplies 1
surface 1
survive 1
survivors 1
system 1
take 1
taken 2
takes 1
talks 1
teachings 1
team 2
tears 1
tell 2
telling 1
tells 2
that 14
the 84
their 5
them 5
then 3
there 8
these 1
they 18
thing 1
things 2
this 2
thoughtful 1
threats 1
three 1
through 6
throws 1
time 1
timothy 1
tires 1
to 55
together 1
top 1
towards 1
tower 2
tragic 1
transmit 1
travel 4
traveling 1
travels 1
tretyak 3
treytak 1
tunnel 2
tunnels 1
turn 1
two 2
ulman 2
unconscious 1
under 1
unfinished 1
unseen 1
up 1
vain 1
vdnkh 7
venture 1
very 2
via 2
visas 1
vision 1
wait 1
want 1
wanted 1
war 1
was 5
watchtower 1
way 5
weaponry 1
welcomed 1
well 2
were 2
what 2
when 4
where 2
which 4
while 5
who 14
whose 1
will 3
win 1
with 9
word 1
worm 1
would 1
wounded 1
year 1
young 2
