1864652
/m/0623pd
/m/0623pd
Harry Turtledove
2004-12-28
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
24 1
30 1
a 9
access 1
actress 1
adm 1
admiral 3
after 2
allows 1
and 5
another 1
appears 1
approximately 1
arctic 1
are 2
argue 1
around 2
arrives 2
as 2
at 1
attempting 1
atvar 1
back 2
based 1
be 1
being 1
between 1
breakthrough 1
but 1
by 4
c 3
caged 1
captain 1
cause 1
causes 1
causing 1
cdre 1
ceti 2
comes 1
commodore 2
conquer 1
crew 1
crisis 1
cross 1
destroy 1
did 2
different 1
disasternbsp 1
distinction 1
drawbacks 1
drive 1
dubious 1
earth 5
ecological 1
ecosystemsnbsp 1
emperor 1
empire 1
especially 1
exploration 2
familiar 1
fasterthanlight 1
fearful 1
five 1
fleetlord 2
folding 1
food 1
for 4
from 1
germany 1
great 1
having 1
highest 1
home 5
how 1
human 3
humans 2
in 7
inadvertently 1
inspired 1
instead 1
into 1
introduced 1
investigates 1
is 4
it 3
its 2
japan 1
just 1
left 1
letting 1
levels 1
lieutenant 1
light 2
little 1
loose 1
major 1
make 1
mankind 1
massive 1
matthew 1
meanwhile 1
merits 1
military 1
name 1
named 2
nations 1
nichols 1
nicole 1
not 1
nuclear 1
of 6
off 1
on 4
onehalf 1
onethird 1
only 1
opening 1
orbit 2
other 1
over 1
peary 4
perry 3
planet 2
playing 1
possible 1
principle 1
pun 1
race 9
rats 2
real 1
recovered 1
reports 1
researcher 1
return 1
risson 1
robert 1
role 2
same 2
scientists 1
second 1
sent 1
ship 4
shock 1
similar 1
space 1
species 1
star 1
starship 2
strikes 1
system 1
tau 2
testing 1
that 1
the 32
their 1
themselves 1
they 2
to 11
took 1
traveled 1
travels 1
trek 1
ttomalss 1
twelve 2
uhura 1
up 1
us 1
used 1
velocities 1
way 1
weeks 1
were 2
what 1
when 2
which 2
who 2
will 1
with 3
years 3
yet 1
