11098939
/m/02q_zv0
/m/02q_zv0
Alistair MacLean

{"/m/01jfsb": "Thriller"}
a 5
aboard 1
after 1
all 1
already 1
and 3
attributable 1
badly 1
begun 1
board 1
but 1
by 1
campari 2
cargo 1
caribbean 1
carter 1
chief 1
converted 1
crew 1
criminal 1
cruise 1
delays 1
endangered 1
erupts 1
evening 1
exactly 1
for 1
forms 1
goal 1
has 1
he 1
hijacking 1
his 1
hostages 1
in 1
increases 1
intention 1
into 1
is 6
it 1
johnny 1
luxury 1
master 1
member 1
missing 1
mystery 1
not 2
of 4
officer 1
on 1
only 2
part 1
ransoming 1
realizes 1
sabotage 1
sails 1
search 1
seriously 1
ship 2
simple 1
something 1
somewhere 1
ss 1
stemtostern 1
succession 1
suddenly 2
tension 1
that 2
the 10
then 1
to 1
unsuccessful 1
vessel 1
violence 1
voyage 1
wealthy 1
well 1
what 1
when 1
whole 1
whose 1
wrong 1
