19062831
/m/04jj_67
/m/04jj_67
Shackerley Marmion


a 15
about 1
addition 1
adventures 1
aemilia 4
agrees 1
an 1
and 20
are 5
as 2
at 1
aurelia 1
aurelio 7
avoid 1
away 1
be 1
becomes 1
been 3
being 1
bellerophon 1
bestow 1
big 1
blank 1
blusters 1
box 1
brides 1
brother 1
brothers 1
but 1
by 6
can 1
capricious 1
captain 3
careless 7
carries 1
cashiered 1
choice 1
classical 1
comedy 1
comic 2
companion 1
confidence 1
coward 1
cure 1
darling 1
daughters 2
deceased 1
determined 2
directed 1
disguised 1
disguises 2
disinherited 1
displeasure 1
doctor 1
dotario 6
duped 1
elderly 1
embarrassment 1
encourages 1
end 1
enjoy 1
faithfully 1
false 1
family 1
fantastic 1
father 5
favor 1
fine 1
foil 1
fondling 2
for 2
friends 1
frustrated 1
full 1
funds 1
gallant 1
games 1
gentleman 1
gloriosus 1
haberdasher 1
has 4
he 8
heart 1
her 6
high 1
highspirited 1
him 4
himself 2
his 10
hold 1
host 1
hostess 1
however 1
humbled 1
husband 1
husbands 1
i 1
in 3
income 1
indulges 1
interspersed 1
is 12
its 1
keep 1
lack 1
lackwit 3
lady 1
lands 2
latter 1
learn 1
left 1
letters 1
lieutenant 1
life 1
like 1
littlegood 7
live 1
living 1
longsword 1
love 1
lovers 2
mad 1
main 1
makes 1
man 1
marries 1
marry 3
mdash 1
means 1
miles 1
milieu 1
mistakes 1
mooch 1
mortgaged 1
mortgages 1
mother 1
mount 1
much 1
names 1
ocyrois 1
of 17
off 2
on 2
only 1
opens 1
own 1
patrimony 1
phlegon 1
physically 1
plans 3
play 3
pleased 1
plot 1
pranks 1
prefers 1
pretends 1
prewritten 1
provides 1
public 1
questionable 1
real 1
resides 1
results 1
return 1
scares 1
scenes 2
secrets 1
sempster 1
separated 1
servants 1
set 1
she 1
soldiers 1
son 3
speech 1
spend 1
spruce 2
stern 1
stunned 1
style 1
subplot 1
suburb 1
surrounded 1
tailor 1
take 1
talks 1
tavern 1
taverns 1
that 1
the 27
their 1
there 3
they 2
theyve 1
though 1
through 1
thy 1
title 1
to 16
trace 1
tricks 1
two 1
uncle 1
upon 2
usurer 1
valeria 4
version 1
wait 1
wants 1
warrant 1
wastes 1
wastrel 1
wench 1
what 1
where 1
which 1
whipple 2
who 5
with 6
worthy 1
wouldbe 1
yet 1
you 1
younger 1
