10614529
/m/02qk7x7
/m/02qk7x7
Jodi Picoult
2007-03-06
{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
2006 1
2007 1
6 1
a 27
abuse 1
abusive 1
accessory 1
accident 1
accidentally 1
actions 1
admits 2
adopted 1
after 6
afterward 1
again 1
alex 4
alleged 1
also 1
an 3
and 33
anyone 1
apart 1
approaches 1
are 4
argues 1
arrests 1
arrives 1
as 12
asks 1
at 7
athlete 1
atrium 1
attention 1
attorney 1
away 1
back 1
backup 1
bag 1
bang 1
basis 1
battered 1
be 2
beats 1
because 1
been 3
before 3
begins 3
behavior 1
being 1
believes 1
between 3
bigger 1
blood 1
bolted 1
bomb 1
book 3
boys 1
break 1
brother 1
building 1
bullying 5
but 2
by 6
cafeteria 3
calls 1
cannot 1
cant 1
car 2
cause 1
caused 1
causing 1
center 1
chairs 1
characters 2
child 1
classes 1
close 1
commits 1
computer 1
convicted 1
convince 1
convinces 1
cormier 2
counts 2
court 1
courtney 2
crowd 2
date 1
dating 2
daughter 1
day 2
dead 3
declares 1
defense 1
detective 2
difficult 1
dilemma 1
disorder 1
dissociative 1
distracted 1
does 1
done 1
down 1
drew 2
drifted 1
ducharme 1
during 1
eberhard 1
efforts 1
eight 1
email 3
embarrassing 1
end 1
entire 1
escape 1
even 1
events 1
expecting 1
exposes 1
expressing 1
extensively 1
fabricating 1
fag 1
falling 1
fatal 1
favored 1
fear 1
feelings 1
feels 1
fell 1
final 1
finds 1
fired 2
first 2
firstdegree 1
fiveyear 1
flashbacks 1
flashes 1
floor 2
follows 1
for 4
force 1
forth 1
forward 1
frequently 1
friend 1
friends 3
from 5
front 1
full 1
games 1
genitals 1
girard 1
glass 1
got 1
grabbing 1
gun 2
gunman 1
gym 2
had 1
halls 1
hampshire 1
happened 1
happy 1
harbor 1
has 4
hated 1
have 2
having 1
he 8
heard 1
hearing 1
her 10
herself 1
high 6
him 5
his 13
home 1
homo 1
houghton 4
humiliated 1
humiliation 1
hunting 1
i 1
ignatio 1
in 20
include 1
injured 1
instead 1
intensifies 1
interests 1
into 2
is 14
it 2
jail 2
jock 1
joey 3
john 1
join 1
joined 1
jordan 2
josie 24
judge 2
junior 1
jury 1
justified 1
keep 1
kept 1
killed 1
killing 1
kills 1
lacy 2
large 1
later 2
leading 1
leads 1
learns 1
leaving 1
lessons 1
lewis 3
life 1
likes 1
lives 1
local 1
locker 2
lot 1
loud 1
love 1
loving 1
lunch 1
lying 1
manslaughter 2
many 1
march 1
massacre 2
matt 12
memorial 1
miscarriage 1
month 2
morning 1
mother 3
murder 2
necessary 1
never 1
new 1
nine 1
nineteen 1
noise 1
not 1
number 1
occasion 1
of 24
off 1
often 2
older 2
on 7
once 2
one 5
only 4
opens 1
order 1
ordinary 1
orientation 1
other 2
others 1
out 4
outcast 1
own 1
pants 1
parents 2
parking 1
passing 1
past 1
patrick 4
pay 1
people 3
person 1
peter 31
peters 1
pictures 1
place 1
plan 1
plaque 1
police 1
popular 4
possessive 1
posttraumatic 1
pregnancy 1
prison 1
probable 1
proceeds 1
promise 1
promised 1
protect 2
psychotic 1
public 1
pulls 1
question 1
reader 1
reads 1
realizes 1
received 1
reduced 1
regularly 1
relationship 2
remaining 1
remember 2
remodeled 1
repeating 1
replaced 1
reputation 1
result 1
reveal 1
reveals 1
ridicule 1
rift 1
room 2
routine 1
row 1
royston 2
safe 1
school 8
searches 1
second 1
seconddegree 1
seeing 1
seek 1
sends 1
sent 1
sentence 2
sentenced 1
seriously 1
set 1
several 3
severe 2
sexual 1
she 5
shocked 1
shooter 1
shooting 8
shot 4
shots 1
single 1
slowly 1
small 1
sock 1
son 2
sophomore 1
stage 1
state 1
sterling 5
story 5
straighta 1
stress 1
stuck 1
student 2
students 5
stuffing 1
subplots 1
subsequent 1
suddenly 1
suffer 1
suffering 1
suicide 2
superior 1
surrounded 1
syndrome 1
talking 1
target 1
teacher 1
tell 1
ten 3
that 8
the 66
their 4
then 1
they 1
this 2
throat 1
throughout 2
time 3
to 27
told 1
too 1
took 1
toward 1
town 1
tracking 1
traps 1
trial 2
triggered 1
try 1
turns 2
twice 1
two 2
up 2
upset 1
uses 1
victim 1
victims 1
victimstobe 1
video 1
visited 1
waived 1
walk 1
was 4
well 2
were 2
what 2
when 5
where 2
which 1
while 2
white 1
who 4
whole 1
with 2
world 1
wouldnt 1
wounded 1
wounding 1
wounds 1
wrote 1
year 2
