22829346
/m/0640qkw
/m/0640qkw
Matthew Morgan
2009-04-28
a 6
about 1
ambition 1
an 1
and 4
are 1
at 2
baby 2
baron 1
battled 1
be 1
beasts 3
before 1
believed 1
believes 2
black 3
but 1
by 1
claiming 1
contents 1
crowd 1
cruelty 1
culprit 1
dealings 1
death 1
deserved 1
died 1
dirty 1
dragon 4
endangered 2
erect 1
estate 1
facade 1
farraway 3
father 1
for 2
fortune 1
founder 1
hall 2
hand 1
has 2
he 6
his 5
horrors 1
hundreds 1
in 2
information 1
innocent 1
inspector 3
intentions 1
into 1
investigating 1
investigator 1
is 1
it 3
killer 2
left 1
life 1
lives 1
lure 1
made 1
man 1
marackai 1
mother 1
much 1
murder 1
named 1
of 7
on 1
order 1
other 1
planning 1
prevention 1
professor 1
protected 1
prove 1
revenge 1
ring 1
royal 1
rspcb 3
sees 1
shot 1
shows 1
society 2
son 1
spectators 1
take 1
that 1
the 15
these 1
through 1
to 10
too 1
trap 1
two 1
ulf 4
up 2
was 1
werewolf 1
when 1
where 2
who 1
will 1
young 1
