13887834
/m/03cm7xq
/m/03cm7xq
Jonathan Kellerman

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 10
actor 1
add 1
ago 1
alex 2
an 2
and 3
another 2
appears 1
area 1
arrest 1
as 1
assisted 1
at 1
body 2
by 1
car 1
case 2
cell 1
condition 1
conditions 1
consultant 1
criminals 1
culprit 1
delaware 1
described 1
detective 1
detectives 1
deteriorated 1
doctor 3
dr 1
drama 1
eye 1
eyes 2
facility 2
facing 1
family 1
female 2
find 2
following 1
for 1
found 1
friend 1
get 1
goes 1
had 2
hardly 1
highly 1
him 2
his 1
implied 1
in 6
industrial 1
infamously 1
is 2
it 1
killer 1
lapd 1
later 1
location 1
locked 1
mass 1
media 1
milo 2
monster 2
murder 1
mutilated 2
mutilation 1
mutilations 1
near 1
now 1
obvious 1
of 4
old 1
one 1
out 1
parked 1
performed 1
psychological 1
psychology 1
psychotic 1
said 1
same 1
secured 1
similar 1
similarity 1
simply 1
some 1
something 1
speaks 1
state 1
sturgis 1
targeted 1
that 3
the 16
this 1
time 1
tipoff 1
to 3
trunk 1
two 1
wannabe 1
was 2
weeks 1
were 1
where 1
who 1
within 1
worked 1
working 1
years 1
