2294503
/m/071lgp
/m/071lgp
Henry James

a 4
about 1
admires 1
advice 1
affair 1
age 1
aggie 2
amazed 1
an 2
and 6
another 1
appears 1
are 1
around 1
as 2
at 2
attends 1
be 1
both 1
brook 4
brookenham 2
but 4
circle 2
civil 1
constantly 1
corrupt 1
country 1
daughter 2
dowry 1
duchess 1
edward 1
effete 1
eighteen 1
finally 1
follows 1
friends 1
functions 1
get 1
grandmother 1
harold 1
he 2
helplessly 1
her 4
hesitates 1
him 3
his 1
home 1
host 1
how 1
if 1
in 1
instead 1
interested 1
is 2
kicks 1
kind 2
knowledgeable 1
little 1
longago 1
longdon 3
love 1
man 1
married 2
marries 1
marry 1
member 1
mitchy 4
money 1
more 1
mother 1
mr 4
mrs 6
much 1
naive 1
nanda 7
nicknamed 1
of 6
on 1
one 2
over 1
parents 1
playing 1
prepares 1
promises 1
proposing 1
rather 2
resembles 1
rich 1
seems 1
servant 1
she 1
sheltered 1
social 3
starts 1
stay 1
stepniece 1
supposedly 1
surrogate 1
sweet 1
tells 1
the 5
their 1
then 2
they 1
to 8
traces 1
trying 1
urges 1
van 2
vanderbank 1
very 1
want 1
watches 1
who 1
with 2
worthless 1
young 1
