20865994
/m/058_2_f
/m/058_2_f
Andrew Clements
2008-07-01
a 6
about 1
adjusts 1
alike 1
all 1
alone 1
along 1
also 1
always 2
and 13
annoyed 1
any 2
anyone 1
as 4
at 3
attendance 1
avoid 1
away 1
be 4
becomes 1
before 1
begin 1
both 1
boys 1
brother 2
brothers 1
but 3
by 1
can 1
chance 1
comes 1
complicate 1
confusion 1
consequences 1
day 2
did 2
difference 1
doesnt 1
doing 1
dont 2
each 3
end 1
enough 1
everything 1
exactly 2
exist 1
family 1
father 1
figure 1
figures 1
finally 1
finding 1
fine 1
first 2
follows 1
for 2
friends 3
from 1
funny 1
get 3
gets 1
getting 1
girls 1
give 1
go 3
going 2
grade 1
grayson 2
hard 1
has 1
have 2
he 3
heartfelt 1
his 4
home 1
homework 2
identical 1
identities 1
if 2
in 2
into 2
is 3
isnt 1
it 6
jay 8
just 2
keep 1
keeps 1
know 1
known 1
like 3
lists 1
look 1
makes 1
making 2
matters 1
memorize 1
mind 1
mistaken 1
more 1
move 1
named 1
names 1
need 1
new 2
no 2
not 5
now 1
nurse 1
obviously 1
of 4
on 3
one 5
only 1
other 3
out 3
parents 2
people 1
person 1
plan 1
plead 1
pretending 1
principal 1
proving 1
rather 1
ray 6
refuse 1
responsible 1
right 1
run 1
same 1
school 5
secretly 1
see 1
separate 1
sick 1
single 1
sixth 1
so 2
some 1
something 1
sometimes 2
start 2
stays 1
stories 1
story 1
straight 1
take 1
teachers 1
tells 1
than 1
thanks 1
that 7
the 12
their 6
them 2
there 1
they 10
theyll 1
theyre 2
ties 1
time 3
to 16
tougher 2
town 1
trouble 1
turns 1
twin 1
twins 3
two 1
understand 1
understanding 1
until 1
up 1
want 1
weird 1
well 1
were 1
what 3
when 1
where 1
who 2
why 1
will 1
with 2
wondered 1
wonders 1
would 1
