5844310
/m/0f8n1n
/m/0f8n1n
Buchi Emecheta
1976
a 13
accept 1
after 1
agegroup 1
agree 1
akunna 7
akunnas 1
already 1
although 1
ambitions 1
an 1
and 15
anticipate 1
any 1
apparent 1
are 2
around 1
arrives 1
arrogant 1
as 2
at 1
attention 1
attentions 1
attract 1
baby 3
back 2
background 1
be 1
become 1
becomes 2
before 1
begin 1
begins 2
begun 1
being 1
bid 1
blackie 4
blossoming 1
bride 5
brings 1
brother 2
burst 1
by 4
celebration 1
chief 1
chike 8
chikes 3
childbirth 1
children 4
christens 1
christmas 1
city 1
colonization 1
come 1
company 1
conceals 1
confirms 1
confrontation 1
could 1
court 1
dance 1
day 2
descendant 1
descendants 1
developed 1
dies 2
disgrace 1
disrupting 1
divorce 1
doctor 1
doll 1
earning 1
elope 1
enough 2
examination 1
ezekiel 1
ezekiels 1
fall 1
family 3
far 1
farewell 1
father 2
feels 2
fertility 1
few 1
finally 1
finds 1
first 1
fleeing 1
for 5
from 1
funeral 1
furious 1
generous 2
get 1
goes 1
going 1
gone 1
guilt 1
happy 1
has 12
have 3
he 5
her 23
him 1
his 4
hold 1
home 2
hospital 2
hours 1
husbands 1
ibo 3
ibuza 3
if 1
image 1
in 13
increasingly 1
inevitable 1
inferior 1
is 12
it 3
joy 1
kidnap 1
kidnapped 1
know 1
lagos 1
large 1
later 2
let 2
lies 1
life 2
limp 1
ma 4
made 3
marred 1
married 1
marry 1
meaning 1
means 2
meanwhile 1
men 3
menstruate 1
menstruating 1
might 1
missionaries 1
missionary 1
money 2
more 1
most 1
mother 1
much 2
neighborhood 1
new 1
next 1
night 2
nnanndo 1
not 3
now 3
of 14
off 1
offer 1
offers 2
often 1
oil 1
okoboshi 2
okonkwo 5
old 1
on 2
one 1
order 2
other 4
out 1
over 1
own 1
particularly 1
passed 1
passion 1
passive 1
performing 1
period 1
please 1
positions 1
practicing 1
price 4
privileged 1
problematic 1
receive 1
receives 1
refuses 2
region 1
rescues 1
reveals 1
rites 1
save 1
says 1
school 1
schooling 1
schools 1
screams 1
sent 1
several 1
she 19
sick 2
sicker 1
sign 1
slaves 3
slept 1
so 3
some 1
soon 1
spread 1
started 2
starts 1
stave 1
stepfather 1
suitor 1
sure 1
takes 1
teacher 2
tells 1
than 3
that 7
the 31
their 3
them 1
there 2
they 2
thin 1
those 1
though 2
three 1
to 19
together 1
torture 1
touch 1
turn 1
two 2
ughelli 1
unlikely 1
unpaid 1
upcoming 1
village 2
virgin 1
wealthy 1
wedding 1
weeks 1
when 7
where 1
who 3
wife 1
will 3
with 3
without 1
wives 1
women 1
word 1
work 1
yet 1
young 3
