18713342
/m/04gqvws
/m/04gqvws
Alice Hoffman
1995
a 2
about 2
all 1
almost 1
and 7
as 1
at 1
aunts 1
away 1
back 1
been 1
black 1
blamed 1
bonds 1
brought 1
but 1
by 2
cats 1
children 1
concoctions 1
couldnt 1
crowd 1
darkened 1
delicious 1
do 2
each 1
elderly 1
encourage 1
endured 1
escape 2
everyday 1
everything 1
family 1
fate 1
for 2
forever 1
gillian 2
have 1
house 1
hundred 1
in 1
incantation 1
life 1
literary 1
love 2
magic 1
marrying 1
massachusetts 1
more 1
novel 1
of 2
one 1
other 2
outsiders 1
owens 1
pointed 1
real 1
running 1
sally 2
seemed 1
shared 1
sisters 1
so 1
spells 1
talked 1
taunted 1
than 1
that 2
the 6
their 5
them 1
they 2
to 4
town 1
two 1
wanted 1
was 1
went 1
were 1
whispers 1
witchery 1
witches 1
with 1
women 1
would 1
wrong 1
years 1
