1396624
/m/04z97p
/m/04z97p
Stephen Baxter
1991
a 5
air 1
all 1
almost 1
along 1
alternate 3
although 1
an 1
and 2
are 1
as 1
band 1
belt 1
bizarre 1
boneys 1
book 1
breathable 1
burnedout 1
but 1
came 3
clear 1
collapse 1
communities 1
constant 1
contains 1
corpses 1
created 1
divided 1
during 1
effects 1
elite 1
environment 1
environmental 1
escaped 1
exactly 1
except 1
existing 1
few 1
follows 1
from 1
glimpse 1
gravitational 1
has 2
high 1
highgravity 1
highly 1
hints 1
hostile 1
how 1
humans 5
implying 1
in 6
increasingly 1
indicate 1
intentionally 1
into 2
is 6
it 2
kernels 1
larger 1
laws 1
live 2
living 2
magnitude 1
main 1
mine 1
native 1
nebula 2
never 1
nomadic 1
not 1
of 9
on 3
or 1
orders 1
our 3
out 1
own 1
period 1
physics 1
raft 3
reality 1
relatively 1
remains 1
rift 1
ring 1
same 1
seen 1
sequence 1
ship 1
slowly 1
society 1
species 1
specified 1
star 1
starship 1
story 1
stratified 1
suffering 1
survive 1
technology 1
than 1
that 4
the 25
they 2
this 1
though 1
thousand 1
through 1
time 1
to 1
turned 1
unintentionally 1
universe 8
unknown 1
unmentionables 1
various 1
where 1
whether 1
which 2
who 1
with 2
within 1
workersminers 1
worlds 2
xeelee 1
