2324984
/m/073xh6
/m/073xh6
Gore Vidal
1978
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 9
about 3
acquiesce 1
adam 1
addition 1
admits 1
after 2
again 1
alive 1
all 2
along 2
american 3
an 1
and 18
announces 1
announcing 1
anyway 1
apocalyptic 1
are 4
as 1
assured 1
at 1
awry 1
b 1
baby 1
be 6
become 2
been 1
behind 1
biology 1
birth 1
bleak 1
bomb 1
bring 1
but 1
called 2
can 1
carrying 1
cataclysmic 1
centuries 2
chemical 1
child 1
children 1
chosen 1
claims 1
conceive 1
conduct 1
conducting 1
consort 1
council 1
couple 1
daughters 1
death 1
decides 2
declaring 1
destroy 1
died 2
dies 1
dr 3
effects 1
elaborate 1
end 2
ends 1
engineer 1
engineering 1
entire 1
eve 1
every 1
everyone 1
except 1
explode 1
exploded 1
extinct 1
fact 1
fairly 1
father 1
fields 1
finds 1
first 1
for 3
former 1
forty 1
from 1
generals 2
genetics 1
geraldine 2
giles 1
girl 1
giving 1
go 1
governments 1
group 1
had 2
has 2
having 1
he 2
herself 1
him 1
himself 3
his 9
hoax 1
however 1
human 6
if 1
ignoring 1
implied 1
in 8
incapable 1
inherit 1
insane 1
interim 1
intermarry 1
is 7
it 4
j 2
james 2
kalki 11
kelly 2
kellykalki 1
kill 2
kills 1
kind 1
know 1
knowledge 1
lakshmi 8
last 2
learnt 1
leaving 2
living 2
love 1
lover 1
lowell 3
male 1
masters 2
medicine 1
military 1
miscarries 1
mistakenly 1
model 1
more 2
national 1
nc 1
ncs 2
neutron 1
never 1
new 5
next 1
not 1
now 1
oconnor 1
of 7
off 1
on 2
one 2
only 3
or 2
other 2
ottinger 1
out 2
over 1
people 2
perfect 2
period 1
physicist 1
plague 2
plan 3
planet 2
plans 1
point 1
populated 1
postapocalyptic 1
postscript 1
predicts 1
provided 1
race 4
reciprocating 1
religious 1
report 1
save 1
science 1
second 1
secret 1
security 1
seven 1
shockingly 1
simians 1
simultaneously 1
six 2
soldier 1
sons 1
soviet 1
soviets 1
species 1
sterile 1
story 1
succeeds 1
teach 2
teachers 1
teddy 3
tests 3
that 6
the 40
their 1
then 2
these 3
they 3
thing 1
this 1
three 5
through 1
to 16
treachery 1
twelve 1
twenty 1
two 2
uninhabitable 1
unwittingly 1
various 1
vasectomy 1
well 1
when 2
which 2
who 1
whole 1
whom 2
wife 4
will 5
with 6
world 8
would 5
years 3
