3267728
/m/092brn
/m/092brn
Irene Hunt
1970-01
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
15 1
150 1
18 1
2 1
20 1
30 1
78 1
a 28
about 1
accept 1
accompanied 1
acquainted 1
address 1
after 2
again 1
against 1
ages 1
aka 1
alive 1
all 1
allowed 1
almost 1
along 3
alongside 1
already 1
also 2
and 31
announcement 1
any 1
as 3
at 8
attractive 1
away 2
back 1
banjo 2
baton 2
be 2
become 3
been 2
beer 1
befriends 1
begging 3
being 1
bill 2
bills 1
boarded 1
bootlegger 1
bread 1
breaks 1
bring 1
bringing 1
bromer 1
brothers 2
brought 2
burns 1
but 2
buy 1
by 9
c 1
car 1
carnival 4
cents 1
certain 1
change 1
changes 1
charley 2
chicago 2
child 1
clown 1
cold 1
combined 1
comes 1
coming 1
common 1
completely 1
conflicts 1
contact 1
continued 1
continuous 1
convinces 1
could 1
crowne 1
dad 2
david 1
day 2
decision 3
declining 1
deeper 1
delano 1
described 1
describes 1
desires 1
despite 4
differences 1
direction 1
discovered 2
discovers 1
does 1
doing 1
dollar 1
down 2
driver 1
dwarf 1
each 1
earn 1
edward 1
emily 4
ends 1
engaged 1
entire 1
even 1
eventually 1
exchange 1
extremely 1
fall 1
falls 1
family 1
father 2
fell 1
felt 1
finally 1
find 3
finds 3
first 2
fond 1
food 2
for 4
found 2
franklin 1
freight 1
friend 1
from 2
furious 1
gain 1
gained 1
get 1
gives 2
giving 2
goes 1
gone 1
good 1
great 1
grieved 1
guilt 1
had 2
half 1
hampered 1
happened 1
happy 1
hardearned 1
harris 3
has 1
have 1
having 2
he 13
hearts 1
help 1
helps 1
her 7
him 7
himself 1
his 14
home 2
hope 2
hospitality 1
however 2
howie 6
humiliation 1
if 1
immediately 1
importance 1
in 14
indeed 1
information 1
instead 1
interest 1
into 1
introducing 1
invites 1
is 6
it 1
janey 2
job 2
joey 19
josh 29
kind 1
lack 1
later 2
lead 1
leave 4
leaves 1
leaving 1
lies 1
living 3
loaf 1
lon 2
longer 1
lonnie 8
lost 1
louisiana 1
love 1
luck 1
main 1
man 1
managed 1
many 1
mary 3
meet 2
meets 1
mind 1
miss 1
money 1
mother 3
musical 1
named 4
nebraska 2
new 2
next 1
niece 1
nights 1
no 1
not 1
notices 1
occasional 1
occurs 1
of 13
offering 1
offtune 1
old 2
omaha 1
on 3
once 1
one 1
opposite 1
other 2
out 3
over 1
overshoes 1
own 2
pair 1
part 1
passes 1
pay 1
people 1
persuades 1
pete 3
pianist 1
piano 1
planning 1
playing 1
pneumonia 1
popular 1
possible 1
postcards 1
praised 1
president 1
problems 1
promise 1
quite 1
radio 1
realizes 1
realizing 1
received 2
reconcile 1
refuses 1
regrets 1
relations 1
reluctance 1
renewed 1
repays 1
resorted 1
responded 1
restaurant 1
return 1
reunion 1
ridiculing 1
riding 1
roosevelt 1
rouge 2
run 1
running 1
saved 1
sells 1
sends 1
set 1
sets 1
share 1
she 1
shoes 2
shopkeeper 1
sickness 2
singer 2
singing 2
sleepless 1
smaller 1
so 1
some 1
soon 1
sorrow 1
soup 1
special 1
station 1
stefan 2
store 1
strikes 1
stroke 1
struck 1
such 1
supports 1
surprised 1
surprisingly 1
survive 1
takes 1
taking 1
talent 1
talented 1
talents 1
taught 1
teacher 1
tears 1
temper 1
that 8
the 33
their 8
them 4
then 2
there 1
they 7
thing 1
things 1
though 1
throws 1
to 27
took 1
towards 1
tragedy 1
train 4
transporting 1
traveling 1
tries 1
trio 2
truck 1
trying 1
turns 1
twenty 1
two 6
unable 1
unconscious 1
unfortunately 1
up 3
upon 2
vows 1
wakes 1
wallet 1
warmth 1
was 6
ways 1
were 2
what 1
when 4
whenever 1
which 3
while 4
who 5
will 1
with 11
woman 1
women 1
working 1
worried 1
would 3
write 2
years 1
