472822
/m/02dq20
/m/02dq20
Jean-Christophe Rufin
2001
1555 1
a 4
above 2
against 1
all 2
among 1
an 1
and 5
another 1
apart 1
bay 1
both 1
brsil 1
by 1
calvinists 1
catholics 1
christianity 1
colonisation 1
colony 1
colourful 1
compete 1
continent 1
controversy 1
convert 1
craftsmen 1
de 1
dissipate 1
dreams 1
epic 1
exciting 1
exconvicts 1
expeditionary 1
exploration 1
faroff 1
for 1
force 1
french 3
gradually 1
guanabara 1
hand 2
has 1
illprepared 1
imperialist 1
in 2
indians 1
is 3
island 1
janeiro 1
just 1
knight 1
landed 1
made 1
new 1
objective 1
odd 1
of 7
on 4
one 2
origins 1
other 1
passionate 1
pioneers 1
plot 1
portuguese 1
priests 1
quixotic 1
realities 1
rich 1
rio 1
rouge 1
sailors 1
satirical 1
see 1
set 2
sets 1
small 1
the 10
their 2
them 1
theological 1
these 1
thinking 1
this 2
to 4
torn 1
twofold 1
up 2
veritable 1
where 1
which 1
with 1
world 1
