860136
/m/03j1xm
/m/03j1xm
John le Carré
1977
{"/m/06wkf": "Spy fiction"}
10 1
12 1
14575 1
151 1
174 1
175 1
30 1
5000 1
a 22
aboard 2
about 4
account 2
across 1
advance 1
advancing 1
after 2
aftermath 1
again 1
against 1
agent 1
air 2
airplane 1
alive 1
along 2
also 2
american 3
americans 1
amongst 1
an 5
analysts 1
and 39
apartment 1
appear 1
approached 1
april 1
are 2
army 1
arrange 1
arranging 1
arrest 1
arrives 1
as 8
ascertain 1
assaults 1
at 4
awaiting 1
away 1
balance 1
banker 1
base 1
battambang 1
beach 1
because 1
becomes 1
beechcraft 2
been 2
before 4
behalf 2
being 1
beneficiary 1
between 2
bill 1
blackmails 1
blonde 1
board 1
boat 1
boss 1
britain 1
british 3
brixton 1
brother 1
brothers 1
bush 3
but 2
by 6
cables 1
calls 1
cambodia 1
capture 2
captured 1
capturing 1
car 2
cargo 2
charlie 1
chief 2
china 6
cia 3
circus 8
clues 1
cocktail 1
collins 5
completing 1
conclusion 1
connection 2
connie 2
corpse 1
counterpart 1
courier 1
currently 1
dead 2
debts 1
decides 1
delayedaction 1
den 1
despatch 1
detain 1
determine 1
di 3
did 1
dinner 1
direct 1
directly 1
disabling 1
disarming 1
discover 1
disobeying 1
do 1
doc 1
doesnt 1
dollars 1
dolphin 3
down 1
drake 11
drug 1
effect 1
either 1
elizabeth 2
embassy 1
en 1
enderby 1
ending 1
enemy 1
enters 1
escape 2
escapes 1
espionage 1
evading 1
exchange 1
expecting 1
explicitly 1
explode 1
factotumbodyguard 1
fawn 4
featuring 1
ferry 1
figures 1
finds 3
fingerprint 1
fishing 1
flat 1
fleet 1
flight 4
flights 1
fly 2
flying 1
for 7
force 2
former 1
founder 1
foundling 1
from 7
fuel 1
george 1
gerald 1
gets 1
girlfriend 2
give 1
go 1
goes 1
going 1
gold 1
government 1
grasp 1
grasps 1
grenade 1
guillam 3
half 1
hand 1
has 4
hawks 1
haydon 1
he 11
head 1
helicopter 1
helicopters 2
helping 1
her 4
heroin 1
herself 1
hesitates 1
hibbert 2
hides 1
hiding 1
him 7
himself 1
hired 2
his 9
hong 7
honour 1
honourable 1
identified 2
identify 1
ignorance 1
implication 1
in 18
include 1
indocharter 1
information 1
instead 1
intelligence 3
interests 1
interrogate 1
interrogates 1
interrogators 1
intervened 1
intervening 1
interview 1
interviews 1
into 4
investigating 1
investigation 1
investigations 3
involvement 1
is 13
island 2
it 3
jerry 3
job 2
jobs 1
junk 1
just 1
karla 2
kgb 1
kill 1
killed 1
kingpin 1
known 1
knows 1
ko 9
kodestination 1
kong 6
kongto 1
land 1
lands 1
laos 1
launch 1
laundering 1
leadership 1
learning 2
learns 1
liese 2
lizzie 7
load 1
lockaway 1
london 3
look 1
luke 1
manages 1
manhandles 1
manuvres 1
marshall 4
martello 1
meet 1
mekong 1
men 1
mercenary 1
mexican 1
million 1
missionary 1
mole 2
money 3
moreover 1
mr 1
murphy 1
must 1
name 2
named 1
nelson 14
nemesis 1
newspaper 1
nextnight 1
night 2
no 1
north 1
northeast 1
not 3
occasional 1
of 22
offensive 1
offered 1
on 10
once 1
only 2
operation 5
operativeand 1
opium 5
or 1
ordering 1
orders 3
organisation 1
out 1
own 1
package 2
parallel 1
party 1
paying 1
penh 2
pensions 1
perceives 1
personally 1
peter 1
phnom 2
photographs 2
photojournalist 1
pick 1
pilot 2
pilotopium 1
places 1
planned 1
po 3
points 1
politically 1
previous 1
previously 1
prompt 1
protect 2
pull 1
pursue 1
pursues 1
put 1
quick 1
quickly 1
react 1
realizing 1
recall 1
red 2
relieved 1
remains 1
rendezvous 2
report 1
reporter 1
reports 1
rescue 1
restaurant 1
retired 1
return 2
returns 1
reunion 1
reveal 1
ricardo 16
river 1
romanticism 1
roommate 1
route 1
run 2
ruse 1
sachs 4
safely 1
saigon 1
salis 3
sam 1
saving 1
scalphunters 1
sceptical 1
schoolboy 1
seam 1
secondincommand 1
secret 1
seeks 1
sent 1
service 3
shanghai 1
she 4
shoots 1
shot 2
shows 1
sis 1
six 1
smiley 12
smuggler 1
southernmost 1
soviet 4
special 1
spied 1
spies 1
spurred 1
spy 1
stole 1
success 1
successful 2
such 1
suppressed 1
surprised 1
take 1
takes 2
tank 1
tells 3
temporary 1
thailand 2
that 16
the 60
their 1
them 1
there 2
thereby 1
they 4
thought 1
thus 1
tiny 1
tiu 7
to 42
toi 3
top 1
trail 1
transmitted 1
transport 1
tries 1
trip 1
trust 1
trustdrake 1
turn 2
turned 1
unannounced 1
unreasonably 1
until 1
up 1
upon 1
us 2
via 3
vientiane 4
vietnam 1
vietnamese 1
want 1
wants 1
war 2
was 6
watches 1
weakened 1
weeks 2
went 1
westerby 26
westerbythe 1
where 2
which 3
while 1
who 4
wife 1
will 2
winning 1
with 8
withdrawn 1
worth 1
worthington 4
would 1
yet 1
yields 1
