18427573
/m/04f4_1k
/m/04f4_1k
Leonid Hurwicz


a 4
achieve 3
activity 1
administrators 1
algorithms 1
also 1
and 5
are 3
authors 1
behaviors 1
book 5
by 1
companies 1
coordinating 1
created 1
deals 1
decentralized 1
design 3
designing 2
desired 2
dominant 1
economic 1
economize 2
efficient 3
field 1
for 4
found 1
goal 1
goals 1
guide 1
guiding 1
helped 1
hurwicz 1
ie 1
implementation 1
in 3
incentives 1
induce 1
informationally 3
institutions 3
is 3
lawmakers 1
leonid 1
mathematical 1
mechanism 3
mechanisms 4
models 1
most 1
needed 1
of 4
officers 1
on 2
operate 2
performance 1
presented 1
private 1
procedures 2
provide 1
provides 1
purpose 1
reiter 1
required 2
resources 2
specified 1
stanley 1
strategy 1
structure 1
studied 1
such 2
systematic 2
that 5
the 9
their 3
this 3
those 1
to 4
usually 1
way 1
which 1
who 1
with 1
would 1
