3508683
/m/09hbp7
/m/09hbp7
Taslima Nasrin
1998-06-01
{"/m/0xdf": "Autobiography"}
50 1
60 1
about 2
adolescence 1
also 2
and 6
are 3
as 2
at 1
autobiographical 1
bangladesh 2
banned 1
because 1
been 1
beings 1
bengali 1
birth 1
book 3
books 1
by 3
centuries 1
clean 1
contents 1
cook 1
could 1
countries 1
described 1
dhaka 1
eightyearold 1
elders 1
especially 1
existing 1
exploited 1
family 1
father 2
fields 1
for 1
frank 1
from 1
girlhood 1
girls 2
go 1
has 2
her 4
home 1
hospital 1
how 1
httpwwwvillagevoicecomnews0246davis38321html 1
human 1
hurt 1
i 7
in 7
is 2
its 1
learn 1
male 1
many 1
means 1
men 1
meyebela 1
might 1
mother 1
muslim 1
nasrin 4
not 2
of 3
old 1
or 2
other 1
out 1
people 1
raped 2
relatives 1
religious 1
remembered 1
rights 1
rude 1
run 1
said 2
sentiments 1
seven 1
sexually 1
she 2
slaves 1
so 1
social 1
some 1
stay 1
story 1
suffer 1
supposed 1
system 1
taught 1
tells 1
term 1
that 1
the 7
their 1
them 1
they 2
this 2
to 5
treated 3
two 1
tyrannical 1
uncles 1
very 1
was 4
were 1
when 2
who 1
women 2
written 1
years 1
