14504853
/m/03d5pdk
/m/03d5pdk
Colleen McCullough
2007-12-04
27 2
41 1
a 2
affairs 1
aftermath 1
all 1
ambitious 1
an 1
and 9
antony 4
are 1
as 3
at 1
augustus 1
battle 1
bc 3
be 2
beauty 1
been 1
between 1
book 2
brutus 1
but 2
by 1
caesar 1
caesarion 1
cassius 1
cause 1
cleopatra 4
continues 1
cruel 1
depicted 1
differs 1
downfall 1
earlier 1
east 1
events 1
famous 1
far 2
final 2
focuses 1
for 1
from 2
gaius 1
gifted 1
great 1
greatly 1
had 1
happier 1
happy 1
he 1
helps 1
her 2
him 1
his 2
idealistic 1
in 4
inept 1
installment 1
is 5
julius 1
junius 1
king 1
last 1
livia 1
longinus 1
love 2
lover 1
mainly 1
make 1
marcus 1
mark 1
masters 1
mccullough 2
meddling 1
more 1
mother 1
much 1
needlessly 1
never 1
no 1
not 2
novel 2
octavian 2
of 13
on 1
person 1
philippi 2
plans 1
point 1
politician 1
portrayed 2
pragmatic 1
publicly 1
queen 1
rather 1
renaming 1
republic 1
roman 1
rome 1
ruin 1
ruler 1
ruthlessness 1
second 1
series 2
seventh 1
shakespeare 1
spans 1
state 1
story 1
suicide 1
supposed 1
than 1
the 18
these 1
this 1
to 5
total 1
treatment 1
triumvirate 1
until 1
victor 1
war 1
wealth 1
which 1
who 3
wife 1
with 3
would 1
years 1
youth 1
