989119
/m/03x2m1
/m/03x2m1
Thomas Hardy
1878
a 44
about 2
abroad 1
accept 1
accuse 1
accuses 1
across 2
actions 1
adder 1
adultery 1
after 3
aftercourses 1
again 1
alarm 1
along 1
aloof 1
already 1
also 4
although 4
america 1
an 4
and 44
anger 1
appear 1
are 2
arranges 1
arrives 2
as 9
asked 1
asks 1
asleep 2
at 8
attempted 1
august 1
aunt 1
available 1
awaits 1
awakened 1
away 1
back 4
banns 1
barred 1
be 2
beautiful 1
because 1
become 3
been 1
before 1
begin 3
begins 2
being 1
beside 1
best 2
better 2
between 1
birth 1
bite 1
blackhaired 1
blasted 1
blessing 1
blinds 1
bloom 2
bonfires 1
both 2
bothering 1
break 1
brief 1
briefly 1
broke 1
budmouth 1
but 1
by 7
call 1
called 1
calling 2
can 1
career 1
carrying 2
cautiously 1
chained 1
chance 1
change 1
child 1
choice 2
clings 1
clym 20
coat 1
colouring 1
combined 1
comes 1
compromised 1
consider 1
constantly 1
cooled 1
cottage 1
country 2
court 1
courtesy 1
covers 1
cried 1
cruelty 1
crumpled 1
dairy 1
damon 1
dares 1
dark 1
darkness 1
dashes 1
daughter 1
day 5
decided 1
decides 1
deciding 1
delayed 1
deliberately 1
demurs 1
denizens 1
despair 1
devilish 1
devoted 1
dialect 1
diamond 2
difficulty 1
diggory 2
disposition 1
distress 1
does 1
door 3
down 1
dreams 1
drives 1
drops 1
duly 1
during 1
dying 1
earlier 1
effects 1
egdon 3
eke 1
emphasizingnot 1
encounters 1
end 2
enjoy 1
entirely 1
environs 1
envision 1
epilogue 2
escape 1
estrangement 1
eustacia 22
even 2
evening 2
eventually 2
exactly 1
exception 1
exhaustion 1
existence 1
exotically 1
expires 1
explain 1
fact 1
fall 1
falls 2
farmer 1
fashionable 1
fast 1
fawkes 3
few 2
fickleness 1
figure 1
finds 4
five 1
flocks 1
folk 1
foot 1
for 15
forbade 1
former 1
from 8
fulfill 1
further 1
furzecutter 1
furzecutting 1
garden 1
gear 1
germinate 1
get 1
gig 1
give 2
gives 2
glamorous 1
goes 1
gone 1
good 1
grander 1
grandfather 3
grew 1
grief 1
gruelling 1
guessing 1
guilt 1
guy 3
had 1
handsome 1
happily 1
happiness 1
has 9
hated 1
he 15
head 1
heads 1
healing 1
hear 1
hears 1
hearth 1
heat 1
heath 9
heathfolk 1
height 1
hell 1
help 3
her 33
herself 6
hidden 1
hills 1
him 18
himself 3
his 21
holds 1
home 8
hope 1
hopes 2
horse 1
hot 2
hourglass 1
house 2
however 5
hurry 1
husband 3
hut 1
idea 1
if 3
ill 1
in 25
inflexible 1
