25888432
/m/09v8skf
/m/09v8skf
Fritz Leiber
1968
a 1
across 1
adventure 2
afterwards 1
against 1
an 1
ancient 1
and 2
are 2
as 3
ascends 1
be 1
best 2
but 1
city 1
claimants 1
consults 1
deem 1
duo 1
everest 1
fafhrd 1
fantasy 1
follow 1
gains 1
gray 1
gypped 1
in 6
lankhmar 2
larcenous 1
likable 1
lives 1
lords 1
mouser 1
nehwon 1
nehwonian 1
not 1
of 7
opposing 1
quarmall 2
regard 1
revealed 1
rogues 1
search 1
service 1
smugly 1
so 1
sorcerous 1
stardock 2
stories 1
swords 1
take 1
tent 1
the 11
their 1
themselves 1
they 3
thieves 2
throne 1
to 3
treasure 1
two 3
upcoming 1
witch 2
with 1
wizardry 1
world 1
