4756247
/m/0clnmj
/m/0clnmj
Louis L'Amour
1987-05
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel", "/m/014dfn": "Speculative fiction", "/m/0hfjk": "Western", "/m/02xlf": "Fiction"}
357 1
a 33
about 1
abrupt 2
accompany 1
afraid 1
after 1
again 1
agent 2
aid 2
alive 1
although 1
ambitious 1
an 11
ancient 1
and 39
anomalous 1
another 1
answer 1
apparently 1
appear 1
approached 1
archives 4
are 2
around 1
arrogant 1
as 9
at 4
attached 1
attack 1
attempt 1
back 4
backup 1
barely 1
be 1
beauty 1
because 1
becomes 1
been 5
begins 4
being 1
beliefs 1
believe 1
better 1
big 1
blend 1
blind 1
blueprint 1
book 1
both 1
brawl 1
break 2
breaks 1
build 1
built 1
burial 1
buried 1
businessman 1
but 4
by 12
calls 1
came 1
can 1
cardigan 1
caught 1
cell 1
chief 3
chosen 1
circulation 1
citadel 1
climbed 1
clothes 1
collapse 1
concerned 1
confers 1
confrontation 1
confronted 1
consider 1
constable 1
contains 1
correct 1
could 2
country 1
covering 1
cowboy 2
creeps 1
curious 1
day 3
days 1
debunking 1
decadent 1
decades 1
decaying 1
deep 1
deliberately 1
delivered 1
designated 2
desperately 1
destroyed 1
determines 1
dinner 1
discourages 1
discovers 2
dissuade 1
distance 1
do 1
doesnt 2
dog 2
down 3
eden 1
electronics 1
else 1
employ 1
ended 1
ends 2
enlisting 1
entered 1
enters 1
entrance 2
erik 5
escape 4
escaped 1
even 1
evil 2
excavate 1
excavated 1
exotic 1
expedition 1
explains 1
far 2
female 1
finally 1
finds 2
finishes 1
fire 2
first 2
for 6
forbidden 3
forgotten 1
forthrightly 1
fortune 1
foster 1
fourth 2
friend 2
frightened 1
from 8
frozen 1
fully 1
further 1
gallagher 3
get 2
girl 1
given 1
glowing 2
go 1
gold 1
goons 1
gray 1
guard 2
guarded 1
guards 1
had 7
hand 4
has 2
have 1
having 2
he 20
held 1
her 2
him 7
hired 1
his 20
historianarchivist 1
hokart 16
hold 1
home 1
hopeless 1
hopi 1
house 1
hunted 1
immediately 1
imperiously 1
imprison 1
in 17
independently 1
inexplicable 1
inhabitants 1
instructs 1
intended 1
intending 1
intends 1
intention 1
intimated 1
into 5
inventor 1
investigate 1
investigating 2
investigations 1
invisible 1
is 14
it 7
its 3
itself 1
ivoryskinned 1
jar 1
jeep 1
johnny 2
journal 4
kawasi 4
kidnapping 1
kill 2
kiva 10
large 1
later 2
laying 1
lead 1
leave 3
leaves 1
left 1
legends 1
lie 1
lines 2
little 1
lives 1
local 2
located 1
long 1
looks 1
lords 1
made 3
magnum 1
mail 1
maintains 1
makeshift 1
making 1
malign 1
man 2
map 2
mazy 1
meeting 1
meets 2
menace 1
mesa 3
messages 1
middleaged 1
mike 6
mind 1
mistakes 1
more 1
mountainous 1
movements 1
much 1
named 2
native 1
nearby 1
needed 1
newly 1
next 2
night 4
no 1
none 1
normally 1
now 2
nub 1
obvious 1
odd 1
of 23
off 2
old 4
on 6
one 2
only 3
open 1
opened 1
opposed 1
or 1
ordering 1
orders 1
originally 1
others 1
out 6
package 3
paranormal 1
particular 1
patch 1
pauses 1
pencil 2
people 1
personally 1
perturbed 1
phenomena 1
phone 1
pistols 1
place 1
plunges 1
point 1
poison 1
portal 3
power 1
prepares 1
presence 1
presumably 1
promises 2
pursuing 1
pursuit 1
quasiarchaeological 1
quavers 1
quest 1
questions 1
quiescent 1
quite 1
radiating 1
raglan 14
rather 1
ravenhaired 1
read 2
received 1
receives 1
refuses 1
regime 1
rendezvouses 1
renegade 1
replaced 1
rescue 2
resharpens 1
resolved 1
restaurant 4
rests 1
returned 2
returns 2
reveals 1
rifle 1
room 1
roughly 1
ruins 1
rulers 1
rumors 1
save 1
say 1
scientist 1
sealed 1
secluded 1
sense 1
sent 1
sets 1
she 2
shelter 1
shibalba 6
shibalban 1
show 1
sipapu 1
so 3
soldiers 1
some 1
someone 1
somewhere 1
southwest 1
specializes 1
speculation 1
spot 1
squad 1
starving 1
steal 1
stolen 2
stop 1
striking 1
struck 1
substance 1
suffer 1
surely 1
surrounded 1
sweater 1
sweaters 1
swirled 1
tale 1
talents 1
tazzoc 4
tell 1
tells 2
that 11
the 73
their 1
them 2
they 9
third 8
this 2
though 1
through 5
thugs 1
thus 1
time 1
to 38
too 1
top 1
totalitarian 1
trapfilled 1
trapped 1
travel 1
trouble 2
try 1
turn 1
twin 1
two 1
under 1
underground 1
up 5
urgent 1
use 1
using 1
vanish 1
varanel 4
volkmeer 2
waiting 1
wants 2
was 9
way 2
wealthy 1
wear 1
well 1
what 1
when 3
where 1
which 3
who 11
wider 1
win 1
window 3
wins 1
with 9
within 1
woman 3
world 11
worn 1
worse 1
wrote 1
young 1
zipacna 2
