2999014
/m/08jp8c
/m/08jp8c
Dav Pilkey
2001
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/09kqc": "Humour"}
1 1
2000 3
3 1
3d 2
a 34
about 3
accidentally 2
action 1
adjacent 1
admit 1
adventure 1
afterthought 1
agrees 2
aided 1
all 4
along 1
already 1
altar 1
amulet 2
an 4
and 66
anthope 1
anthrope 1
anxious 1
any 1
anyone 1
anything 2
anyway 1
are 8
arranges 1
as 5
ask 1
assumes 1
at 8
attack 1
attacks 1
attempts 1
auditorium 1
away 2
b 1
baby 1
back 2
bake 1
bald 2
be 2
bearable 1
because 3
become 1
becomes 2
before 2
behave 1
behind 1
berserk 1
between 1
blank 1
blunder 1
book 6
born 1
bottles 1
box 3
boys 5
brain 1
breaks 1
brings 1
build 1
building 1
built 1
bumblebee 1
burns 1
but 5
buy 1
by 9
c 1
cafeteria 1
cake 1
called 2
can 3
candle 2
cape 1
captain 9
card 6
cards 1
catches 1
causing 1
celebrate 2
chairs 1
changes 1
changing 1
chaotic 2
claiming 1
class 1
clears 1
clinging 1
clothing 1
comic 5
company 1
contain 1
contained 1
container 1
convince 1
convinced 1
cookies 2
copies 1
costume 1
couldnt 1
crazy 1
create 1
cuts 1
day 6
decide 2
declares 1
defeat 1
defeated 1
defeats 1
defiantly 1
destroying 1
detention 1
dialogue 1
didnt 2
distances 1
do 5
does 1
doesnt 1
down 1
drawing 1
dream 1
dropped 1
drops 1
due 1
earth 1
easily 1
eats 1
effect 3
effective 1
eggsalad 1
elderly 1
electric 1
end 1
ends 1
entire 1
equipped 1
errands 1
escape 1
events 1
every 1
everyone 2
everything 4
everywhere 1
except 4
expanded 1
expired 1
explaining 1
extend 1
extrastrength 2
f 2
fabric 3
faces 1
fact 1
fall 1
far 1
few 1
fighting 1
find 2
finds 1
fingers 1
first 1
fish 1
fly 1
flying 1
following 2
food 1
for 9
forces 1
forget 1
forms 1
fortunately 1
found 1
fourth 1
free 2
freeing 1
fresh 1
friday 3
from 4
funny 1
funnylooking 1
furious 1
g 3
george 24
get 5
gets 1
gibberish 1
gigantic 1
girls 1
give 2
