764885
/m/039k6g
/m/039k6g
David Auburn


300 2
30th 3
35th 1
a 37
abandoned 1
about 7
accompany 1
achievement 1
acting 1
actors 1
after 4
again 1
agent 1
aging 2
agree 1
agrees 2
airport 1
albeit 1
all 2
alone 1
aloud 1
also 2
although 1
am 1
amount 1
an 4
and 37
anxiety 1
apartment 2
are 6
argue 4
argument 1
arrives 2
artist 2
artists 1
as 8
asks 1
aspect 1
aspiring 1
at 11
awake 1
back 2
bad 1
ballet 1
banal 1
barely 1
be 5
bears 1
beautiful 1
because 1
becomes 1
been 1
before 2
begins 1
begs 1
behave 1
being 2
belts 2
belvedere 1
between 2
birthday 9
birthdays 1
blank 1
blowing 1
bmw 1
booms 1
both 1
brainstorming 3
brand 1
bring 1
broadway 3
building 1
business 1
but 6
by 5
call 1
caller 1
can 3
candles 1
cant 1
career 4
cast 1
castle 1
celebrates 2
central 1
chance 1
changing 1
characters 1
childhood 1
children 1
closer 1
collecting 1
come 1
comes 1
comments 1
company 2
compatible 1
completely 1
composer 4
composing 2
congratulations 1
consider 1
contact 1
convoluted 1
cooking 1
cooperate 1
could 1
cue 1
cut 1
dancer 1
day 2
decide 1
despite 1
develop 1
did 1
different 1
diner 1
discuss 2
distressed 1
do 1
doesnt 2
down 2
dream 1
dress 2
drives 1
dropping 1
drown 1
each 1
early 2
emotionally 1
empty 1
ending 1
enjoys 1
enough 1
evening 1
events 1
example 1
executive 1
exults 1
eyes 1
failure 1
family 3
fat 1
fear 1
filled 1
finally 2
finds 3
firm 3
first 1
following 1
for 15
friend 1
friends 2
friendship 1
from 3
frustrated 1
further 1
futility 1
game 1
gave 1
get 1
gets 2
getting 1
gift 2
girlfriend 1
give 1
gives 2
goes 1
gotten 1
green 2
happened 1
happy 4
hardships 1
has 2
have 2
he 24
hear 1
hearing 1
her 5
hesitant 2
him 14
himself 3
his 28
hivpositive 1
home 2
how 2
however 1
i 5
ideagenerating 1
idol 2
if 1
important 1
in 13
including 1
information 1
informs 1
initially 1
insecurity 1
inside 1
interrupted 1
interview 1
introduces 1
involves 1
is 26
it 11
its 1
itself 1
jealous 1
job 5
johnny 1
johnson 1
join 1
joke 1
jon 39
jons 6
karessa 3
lack 1
larson 1
later 2
leading 1
leads 1
leave 1
leaves 4
leaving 1
legendary 1
life 3
lifestyle 1
like 1
little 1
lives 1
look 1
lot 1
loud 1
lucrative 1
luxury 2
main 1
make 1
makes 2
man 2
manner 1
manuscript 1
many 1
market 1
massachusetts 1
matter 1
may 4
meanwhile 1
meet 1
meeting 2
michael 15
michaels 3
monday 1
money 1
more 3
morning 4
mounting 1
much 1
music 2
musical 4
name 1
naming 1
nearing 1
needs 1
nervous 1
new 4
newest 1
news 1
next 4
no 4
northampton 1
not 6
now 2
of 24
off 2
offers 1
office 1
old 1
on 9
one 2
only 1
opting 1
or 2
other 2
out 2
over 2
paper 1
parents 1
park 1
party 3
passive 1
path 1
people 1
performance 1
permanent 1
persistent 1
persuade 1
phone 1
phones 1
piano 3
picks 1
place 1
plans 1
play 5
ponders 1
possibility 1
pressures 2
problem 1
process 2
produce 1
producers 1
professional 2
psychological 1
pursue 1
quickly 1
raise 1
ready 1
real 1
realizes 2
recap 1
recognized 1
rehearsal 3
relationship 1
remainder 1
reminds 1
removed 1
report 1
reprise 1
required 1
research 1
responds 1
reveals 2
reverie 1
reviewed 1
right 1
rings 1
robert 1
roof 1
s 2
sacrifice 1
says 2
scarcely 1
schedule 1
security 1
see 2
seems 1
sees 3
senses 1
session 3
settle 1
she 7
sheets 1
shes 1
shocked 1
short 1
should 1
show 2
shows 1
sign 1
similar 1
similarity 1
since 1
singing 1
sits 1
smile 1
snack 1
so 3
softer 1
soho 2
some 1
sondheim 3
soon 1
sound 4
spend 1
spies 1
st 2
starving 2
state 1
stay 1
steals 1
stephen 2
stick 1
stopping 1
style 1
substitute 1
success 1
sudden 1
sugar 1
sunday 1
superbia 6
surrounded 1
susan 11
talents 1
teaches 1
technical 1
telling 2
tells 2
than 1
that 15
the 49
theater 1
theatre 3
their 2
them 2
then 1
therapy 2
there 1
they 4
think 2
thinks 3
thirtieth 1
this 5
those 1
though 1
thought 2
thoughts 1
thousand 1
through 3
throwing 1
tick 3
tickboom 1
ticking 1
time 2
to 44
together 1
torn 1
train 1
tries 1
trip 1
turnaround 1
twinkies 2
two 3
ultimately 1
understanding 1
unrewarding 1
untalented 1
until 1
unwillingness 1
up 3
upcoming 2
uttered 1
very 1
view 1
views 1
visit 1
visits 1
waiter 1
walking 1
walks 1
wanders 1
wants 4
was 1
way 3
weakness 1
wealthy 1
well 1
what 3
whether 2
which 2
while 2
who 4
why 1
will 1
wishes 1
with 9
work 3
workshop 6
worries 2
worth 1
write 1
written 1
yells 1
york 2
you 4
your 1
