1039302
/m/040mph
/m/040mph
Jack Butler
1989
{"/m/06n90": "Science Fiction"}
21st 1
400yearold 1
a 8
ability 1
against 1
also 1
and 5
are 1
as 2
be 1
become 1
becomes 1
believes 1
blood 1
brains 1
bram 1
called 1
century 1
change 1
charisma 1
collection 1
comfortable 1
complex 1
conspiracy 1
course 1
crater 1
details 1
disrupted 1
dracula 1
dropouts 1
during 1
enhances 1
eventually 1
excellent 1
explained 1
exploits 1
feels 1
follows 1
foolish 1
for 2
forced 1
fully 1
government 1
has 1
have 1
he 1
hellas 1
high 1
his 2
holding 1
humans 1
in 3
increased 1
into 1
is 4
it 3
janglers 1
john 1
knowledge 1
late 1
leader 1
life 1
loners 1
losers 1
lust 1
many 1
mars 3
mathematical 1
memory 1
need 1
not 1
novel 1
occurs 1
of 9
on 2
once 1
only 1
or 1
own 1
part 1
parts 1
personal 1
photographic 1
possesses 1
power 1
protect 1
read 1
reasons 1
rebels 1
reflexes 1
replaced 1
sense 1
set 1
several 1
shade 5
shape 1
shift 1
sometimes 1
speed 1
stoker 1
story 1
strength 1
strikes 1
subspecies 1
technology 1
temporal 1
that 1
the 13
their 1
them 1
this 1
though 2
through 1
times 1
to 5
together 1
tremendously 1
twice 1
unwitting 1
vampire 2
vengeance 1
when 1
which 1
who 1
whose 1
with 1
year 1
