1235644
/m/04kxl7
/m/04kxl7
Sigmund Freud
1905

18 1
a 4
aberrations 1
abnormal 3
act 2
adolescence 1
adolescents 1
adult 1
adults 1
aesthetic 1
aim 2
all 3
also 6
although 1
always 1
among 2
an 2
and 17
animals 2
anxiety 1
appear 1
are 8
argued 1
as 5
at 4
attachments 1
attain 1
attainment 1
attitude 1
attraction 1
autoeroticism 1
be 3
before 1
began 1
behaviorally 2
bestiality 1
between 1
born 1
both 2
but 3
by 1
can 1
cannot 1
cases 2
castration 1
childhood 1
children 4
claimed 1
complex 1
complicated 1
concepts 1
concluded 1
constitution 1
containing 1
contrast 1
cowardly 1
demonstrable 1
demonstrated 1
derived 1
described 1
designated 1
desires 1
development 2
deviations 1
devoted 1
discusses 1
displays 1
disposition 2
distinction 1
does 1
dominance 1
dreams 1
driving 1
early 1
emotions 1
emphasised 1
endpleasure 1
envy 1
erotic 1
essay 2
essays 1
essaysconsolidate 1
establish 1
even 1
every 1
exist 2
experience 1
familiar 1
farmers 1
feces 1
final 1
first 1
for 1
force 1
forcesneurosis 1
forepleasure 1
form 1
formalised 1
forms 1
forward 1
freud 8
from 3
gain 1
generally 1
genitals 1
germs 1
gratification 1
grounds 1
have 1
he 7
healthy 1
his 5
however 1
human 1
hysteria 1
identity 1
immature 1
impotent 1
in 13
included 1
infantile 3
insane 1
instinct 2
interpretation 1
is 2
it 2
its 1
kind 1
last 1
limit 1
link 1
longburied 1
looking 1
many 2
masturbation 1
mature 1
may 1
means 1
mentions 1
molested 1
more 1
most 1
negative 1
neuroses 1
neurotics 1
normal 3
not 4
numerous 1
object 3
objects 1
occurs 1
oedipal 1
oedipus 1
of 21
on 4
one 1
only 2
or 3
original 1
other 1
otherwise 1
palpably 1
path 1
pedophilia 1
penis 1
people 4
person 2
perversion 4
perversions 3
pleasure 1
pleasures 1
positing 1
postulated 1
prefer 1
preferred 1
prepubescent 1
present 1
proceeds 1
psychosexual 1
puberty 3
put 1
rare 1
rarely 1
relations 1
repression 1
respect 1
retention 1
revive 1
rivalry 1
satisfaction 2
says 4
second 1
section 3
see 1
sexual 15
sexuality 3
sexually 3
shown 1
sibling 1
sought 1
stressed 1
students 1
sucking 1
suitably 1
take 1
teachers 1
tendencies 1
tends 1
terms 1
that 13
thatthis 1
the 36
their 1
them 2
theory 1
there 1
thereby 1
these 2
they 2
this 1
three 2
through 1
thumb 1
to 10
towards 2
transformations 1
turning 1
unconscious 2
undergo 1
universal 1
urges 1
use 1
varied 1
version 1
was 1
were 1
where 2
which 4
who 2
whom 1
will 1
with 2
work 1
would 1
years 1
