4754875
/m/0cllgz
/m/0cllgz
Michael Reaves

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
66 1
a 5
ahead 1
and 4
as 1
ascension 1
been 1
behind 1
blackpit 1
blood 1
bring 1
buddy 1
but 2
by 1
choice 1
concealing 1
confrontation 1
coruscant 1
critical 1
dark 1
darth 2
date 1
deep 1
den 1
destinyand 1
detection 1
dhur 1
droid 1
dying 1
ekes 1
elusive 1
emerge 1
empire 1
escaped 1
father 1
few 1
finish 1
followed 1
for 2
from 1
fulfill 1
hardboiled 1
has 2
have 1
he 1
help 1
hidingand 1
highly 1
his 4
i5yq 1
identity 1
in 3
investigator 1
is 2
jax 6
jaxabout 1
jedi 6
killed 1
killers 1
knew 1
knights 2
learns 1
leaving 1
living 1
massacre 1
master 2
miraculously 1
mission 1
need 1
never 1
news 1
no 1
not 1
now 1
of 4
old 1
one 3
ones 1
only 1
order 1
out 3
palpatine 1
pavan 1
people 1
private 1
reporter 1
request 1
resistance 1
risk 1
ruthless 1
search 1
shocking 1
slated 1
slaughter 1
slums 1
staying 1
step 1
survived 1
that 3
the 13
theyre 1
to 4
trying 1
unorthodox 1
vader 1
vaderto 1
virtually 1
when 1
while 1
who 2
wiped 1
wish 1
with 3
