9507319
/m/02ph2mg
/m/02ph2mg
Derek Robinson
1993
{"/m/098tmk": "War novel"}
10 1
140 1
142 1
156 1
250 1
8th 1
a 41
aa 1
achieve 1
across 4
act 1
adjutant 2
advancing 1
africa 2
afrika 1
after 1
against 1
aims 1
aircraft 2
airfield 2
airfields 1
airstrip 2
alert 1
alive 1
all 1
along 2
also 2
alternative 1
ambitious 1
ambush 1
american 1
amongst 1
an 5
and 42
angered 1
another 3
antiaircraft 1
anxious 1
apartment 1
approved 1
are 9
army 1
arrive 2
arrives 1
as 4
at 7
attack 3
attacks 2
attracted 1
attractive 1
australian 1
avoid 1
await 1
aware 1
awkwardness 1
axis 3
back 2
bait 1
barce 3
barton 11
base 8
based 1
bases 1
battle 2
battles 1
be 4
become 1
beda 1
bedding 1
been 2
begin 2
behind 2
being 2
benghazi 2
between 1
bf 1
big 1
bite 1
bluffing 1
boldness 1
bomb 1
bomber 1
bombs 1
both 1
brave 1
break 1
breakdown 1
breaks 1
brings 1
britain 1
british 4
but 8
by 8
cairo 3
camp 2
campaign 1
can 1
captain 3
capture 1
carry 2
casualty 1
caught 1
central 1
chad 1
challenged 1
cheerfully 1
chew 1
circle 1
clean 1
close 1
coast 1
column 1
comes 1
command 1
commence 1
confrontation 1
confrontations 1
converted 1
convoy 1
cope 1
corporal 1
correspondents 1
courage 1
cr42 1
crashland 1
crescentshaped 1
crew 1
culminating 1
current 1
cynical 1
damage 1
dawn 1
day 1
days 2
dead 1
deep 1
deeper 2
defa 1
defences 2
desert 6
designed 1
desperate 1
desperation 1
despite 3
destroy 2
destroying 1
detachment 2
determined 1
di 1
disguise 1
disregarding 1
divebombing 1
divide 1
do 1
doctor 2
down 1
dozen 1
dozens 1
draw 1
drive 1
drives 1
driving 1
due 1
dune 1
eager 1
eagerly 1
east 1
egypt 2
en 1
encounters 1
ends 1
enemy 6
enemyheld 1
enjoys 1
ensuing 1
enters 1
entertain 1
equipped 1
errors 1
escapes 1
everyone 1
fanny 1
favourite 1
fear 1
fi 1
fiat 1
fiery 1
fieseler 1
fight 1
fighters 3
fighting 1
finally 1
find 1
finds 1
fire 1
fired 1
first 1
five 1
flaw 1
flies 1
flown 2
fluke 1
fomm 1
foot 1
for 11
force 3
forces 1
forcing 1
fort 1
forward 1
four 1
france 1
from 5
fruitless 1
fuel 2
fugitive 1
full 1
german 6
germans 2
give 1
good 1
grandinetti 1
gunfire 1
had 2
harris 1
has 4
have 2
hawker 1
he 7
he111 1
head 2
heading 1
heads 2
heavier 1
heavy 1
heinkel 6
her 1
hick 1
hiding 1
him 4
himself 1
his 13
home 4
hooper 2
hoped 1
hornet 6
hot 1
however 1
humour 1
hurricane 1
if 2
illequipped 1
in 21
indulges 1
infantry 1
infiltrating 1
initial 1
injured 1
injuries 1
inland 2
instructions 1
intelligence 2
into 7
is 17
isolated 1
isolation 1
it 6
italian 4
its 1
jakowski 1
journalists 1
just 1
kellaway 2
kill 1
killed 1
killing 2
kills 1
kittyhawks 1
known 1
korps 1
kull 1
lampard 16
lampards 2
lamy 1
lands 1
large 1
last 1
lead 1
leads 1
leaving 3
led 1
left 3
lessing 1
lessings 1
lester 3
lg 1
lg181 1
libya 3
lines 2
little 1
locate 1
lone 1
long 2
longrange 1
lose 1
loss 1
lovers 1
lowlevel 2
luftwaffe 5
made 1
maintains 1
major 5
make 2
makes 1
malpacket 2
malplacket 1
manage 1
manages 1
marco 1
maria 1
match 1
me10s 1
meanwhile 2
meeting 1
men 7
mere 1
messerschmitt 1
mistaking 1
months 1
more 1
most 1
motorised 2
mussolini 1
name 1
named 1
nearest 1
nearly 2
nervous 1
new 2
newer 1
news 1
nigeria 1
night 1
nighttime 1
nine 1
no 1
north 1
novel 1
now 3
of 30
off 2
officer 4
officers 1
on 10
one 2
only 1
operations 1
ordered 1
orders 1
other 1
others 1
out 9
over 1
overly 1
p40b 1
p40e 1
p40s 1
pace 1
passenger 1
past 1
pastime 1
patrol 11
patterson 2
paul 1
penetrate 1
pileup 1
pilot 2
pilots 5
pip 2
place 1
plan 2
plane 2
plans 1
precious 1
prepare 1
presence 1
present 1
presses 1
previous 1
prisoners 1
prompts 1
proposes 1
provoke 1
pursuer 1
pursuit 1
puts 1
raf 1
raiders 1
reach 2
readers 1
receive 1
recently 1
reckless 1
recklessly 1
reequipped 1
regime 1
rejoin 1
remaining 2
remains 1
repeatattacks 1
repercussions 1
rescue 1
rest 1
result 1
resulting 1
rim 1
rise 1
rises 1
route 3
runs 1
ruthlessly 1
same 1
sand 2
sas 8
schramm 9
schramms 1
scoop 1
sea 1
search 1
searching 1
seas 1
section 2
seducing 1
