23170242
/m/064pltw
/m/064pltw
David Clement-Davies
2007-01-09
{"/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 21
accident 1
accompany 1
adopted 1
alina 15
among 2
an 4
and 26
appears 1
are 1
arm 1
as 2
at 1
attack 1
away 1
be 3
became 1
because 2
become 1
becomes 1
befell 1
believe 1
best 1
black 1
blacksmith 1
book 1
boy 1
brother 1
but 3
by 2
can 2
care 1
castelu 1
catalin 2
cavern 1
changeling 1
communicate 1
curses 1
day 1
dead 2
death 2
decides 1
discover 2
doesnt 1
dragga 1
dragomir 2
dress 1
due 1
during 1
eagle 1
elu 1
escort 1
eventually 2
family 1
father 3
fear 2
feared 1
fell 10
few 1
find 3
finds 3
flee 1
for 6
forced 2
forces 1
forest 1
found 1
frame 1
friend 1
friends 1
from 2
get 1
ghost 1
gift 1
girl 3
goes 2
grey 1
grief 1
growing 1
guilt 1
had 1
hard 1
has 2
have 2
he 4
heads 1
heir 1
her 15
hide 1
hill 1
him 3
his 8
holds 1
house 1
however 1
humans 1
ice 1
in 6
inside 1
into 2
is 10
it 4
ivan 1
journey 2
kar 1
keeps 1
kerl 1
killed 2
killing 1
know 1
lady 2
larka 5
later 2
leave 1
lescu 4
loner 2
looks 2
lord 2
lost 1
loved 1
malduk 3
man 1
mana 1
married 1
meanwhile 1
meets 1
mentally 1
mentioned 1
might 1
moldov 1
morgra 1
mother 1
mountains 1
murder 1
murdered 1
name 1
named 2
now 1
of 16
on 3
one 3
other 2
out 4
outline 1
over 2
pack 2
parchment 1
part 1
past 1
picture 1
played 1
pool 1
protect 1
pups 1
ranna 1
real 3
regions 1
rejects 1
rescued 1
respected 1
romana 3
saw 1
sculcavant 1
secret 1
secretly 1
see 1
sevenyearold 1
shape 1
she 8
shepherd 1
shewolf 1
shows 1
sight 2
sister 2
snows 1
snowy 1
so 1
soldier 2
soldiers 1
some 1
son 2
spends 1
starts 1
stays 1
supposedly 1
survived 1
sword 1
taken 1
tarlar 1
tattoo 1
teaches 1
tells 2
tha 1
that 9
the 32
their 2
them 2
then 3
there 1
they 4
thoughts 1
throne 1
through 1
time 2
to 17
took 1
translyvania 1
trapped 1
travel 1
tried 1
true 2
truly 1
unnatural 1
up 2
use 1
using 1
varg 3
villager 1
villagers 1
vision 1
vladeran 4
walking 1
was 5
watches 1
when 1
where 1
which 3
while 2
who 5
whom 1
wife 2
with 4
wolf 3
wolves 1
work 1
years 1
