1895117
/m/064f5y
/m/064f5y
Thomas Nashe
1594
a 7
accepts 1
aeneas 20
after 1
agree 2
agrees 2
all 1
already 1
also 1
and 21
anna 4
anyone 1
appear 1
appears 1
arguing 1
arrived 1
arrow 1
as 3
ascanius 6
asks 1
at 2
back 2
be 4
because 1
become 1
been 1
believes 1
believing 1
brings 1
build 1
burn 1
but 6
can 1
carthage 2
cave 2
city 2
cloanthes 1
close 1
coast 1
command 2
complains 1
comrades 1
confusion 1
cupid 2
cursing 1
custody 1
dead 1
death 1
declares 1
defeated 1
denies 3
depart 1
departs 1
describing 1
despair 1
destiny 2
detail 1
dido 14
disappeared 1
disguised 1
disguises 2
divine 1
do 1
does 2
encourages 1
enter 1
enters 1
escape 1
everything 1
executed 1
fall 1
falls 1
favour 1
few 1
find 1
fire 1
followers 2
fondling 1
for 1
forgives 1
from 3
fulfil 1
funeral 1
ganymede 1
generous 1
get 2
give 1
greeks 1
hand 1
happening 1
harm 1
has 6
have 2
he 13
helps 1
her 12
herself 3
him 9
himself 1
his 10
horrified 1
horror 1
hospitality 1
however 1
iarbas 8
identity 1
ignore 1
illioneus 1
immediately 1
important 1
imprisoned 1
in 8
informs 1
intended 1
intends 1
into 1
is 7
it 1
italy 3
jealousy 1
juno 4
jupiter 6
kills 2
king 1
leave 5
leaving 1
left 1
libya 2
local 1
loss 1
lost 2
love 4
make 2
marry 1
meet 2
meets 2
mercury 1
missing 1
mistreating 1
mortal 1
must 3
neglecting 1
new 1
not 2
now 1
nurse 2
objects 1
of 13
on 4
opportunity 1
orders 2
other 3
out 2
over 1
own 1
places 1
plans 3
pleads 1
precaution 1
prepares 1
presses 1
priam 1
progeny 1
promises 1
pursue 1
pyre 1
queen 1
quiet 1
real 1
really 1
received 1
recognises 1
refuses 1
rejects 1
reluctantly 1
reminds 1
removes 1
revenge 1
rid 1
rival 2
ruler 1
sails 1
say 1
saying 1
says 3
seeing 1
seems 2
sees 1
sends 1
separated 1
sergestus 1
she 15
ships 2
sister 1
so 3
son 4
storm 2
story 1
strike 1
suitor 1
supply 2
surviving 1
survivors 2
swears 1
tackle 2
tells 3
that 11
the 21
their 2
they 2
throws 1
to 26
too 1
touch 1
travels 1
trojans 1
troy 3
true 1
up 1
venus 5
wants 1
was 1
way 1
what 1
where 2
which 2
who 7
wife 2
will 6
with 9
without 1
worry 1
