1986004
/m/06c08w
/m/06c08w
Mick Foley
2003
16 1
a 5
about 1
abused 1
across 1
adults 1
after 1
also 1
and 6
andy 2
antietam 3
at 2
battle 1
beautiful 1
being 2
book 1
brown 2
by 2
causes 1
cracks 1
cruel 1
detention 1
draws 1
every 1
father 4
five 1
for 1
foster 3
from 5
generations 1
gets 1
girl 1
grade 1
harm 1
he 4
him 2
his 7
home 3
in 5
is 1
iv 1
juvenile 1
killing 1
kkk 1
life 2
love 1
member 1
molested 1
names 1
now 1
of 5
older 1
period 1
physically 1
puts 1
rage 1
rape 1
school 2
shows 1
span 1
spending 1
strength 1
students 1
take 1
taken 1
teenager 1
terri 1
terrible 1
the 6
then 2
tietam 1
time 2
to 4
tormentors 1
tossed 1
treatment 1
tried 1
up 2
v 1
was 2
who 2
with 1
years 1
