6827785
/m/0gr9qj
/m/0gr9qj
Rex Stout
1939-02-02
10000 1
45000 1
a 13
accepts 1
across 2
an 1
and 7
archie 7
are 3
assumes 1
at 3
atop 1
barbecue 2
beef 1
been 1
bet 2
blows 1
body 1
boulder 1
bull 7
but 1
by 3
caesar 2
car 2
chain 1
champion 1
climb 1
clyde 3
comfortable 1
corpse 1
crashes 1
days 1
death 1
decide 1
despised 1
discovers 1
divert 1
during 1
everyone 1
exchange 1
exposition 2
fastfood 1
fence 1
few 1
for 6
from 2
get 2
giving 1
gored 1
guard 1
guernsey 2
has 2
help 2
his 1
horns 1
house 3
idea 1
in 3
into 1
involved 1
is 3
its 1
killed 1
large 4
later 1
league 1
lift 1
lives 1
members 1
named 1
neighbor 1
night 1
not 2
notice 1
of 5
offers 2
on 2
orchids 1
osgood 1
outraged 1
owner 1
pasture 3
phone 1
plan 1
plans 1
possible 1
pratt 7
price 1
publicity 1
purchased 1
push 1
restaurants 2
retrieved 1
runs 1
safety 1
services 1
serving 1
show 1
shows 1
son 1
stay 1
subsequently 1
that 5
the 18
theft 1
their 3
thenfantastic 1
there 1
they 2
thinks 1
thomas 1
threatened 2
time 1
tire 1
to 12
town 1
tree 1
uninjured 1
up 1
upstate 1
using 1
very 1
walk 1
watch 1
way 2
when 1
where 1
who 1
will 2
wolfe 7
