60364
/m/0gdq1
/m/0gdq1
Douglas Adams

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0hh4w": "Comic science fiction", "/m/09kqc": "Humour"}
42 1
a 11
able 1
about 1
accordance 1
across 2
action 1
adapt 1
address 1
after 4
afterward 1
agrajag 2
all 1
alone 1
along 1
also 2
alternate 1
alternative 1
an 5
and 25
annoyed 1
another 1
appears 1
approached 2
are 1
arrives 1
arriving 1
arthur 17
artificial 1
as 5
astrology 1
at 3
attempt 2
attempts 1
available 1
aware 1
away 1
banks 1
bar 2
base 3
be 2
becomes 1
becoming 1
beeblebrox 1
been 3
behind 1
being 3
believes 1
believing 1
beta 2
better 1
beyond 1
biological 1
boring 1
both 1
bring 1
building 1
but 2
by 8
called 1
calling 1
can 1
cannot 2
capable 1
care 1
career 1
charts 1
claims 1
collapses 1
comes 1
company 1
complete 1
computer 1
conceived 1
core 1
crash 1
created 1
damaged 1
daughter 1
day 1
dent 2
depressed 1
destroy 1
destroyed 1
destruction 2
die 1
dimension 1
disappears 1
discovers 1
dna 1
donating 1
ducks 1
due 3
during 3
earth 6
employ 1
engineering 1
enterprises 1
escape 2
even 1
events 2
every 1
everything 1
exchange 1
expected 1
extraterrestrial 1
fenchurch 2
find 2
finding 1
finds 6
fire 1
fires 1
fish 1
following 1
for 7
ford 9
forgets 1
form 1
from 1
galaxy 3
get 2
girl 2
given 1
grebulons 2
guide 9
had 2
handbag 1
has 3
have 3
having 1
he 5
help 3
helps 1
her 8
herself 1
highest 1
him 1
himself 1
his 6
hitchhiker 1
hitchhikers 1
however 1
human 1
hyperspace 1
ii 4
improve 1
in 11
infinidim 1
insane 1
insemination 1
interest 1
interesting 1
intergalactic 1
interview 2
into 1
is 9
it 5
its 2
itself 1
journey 1
jump 1
just 2
killed 1
kills 1
lamuella 3
landing 1
lands 1
leave 1
leaves 1
leaving 1
let 1
life 4
local 1
london 1
long 1
longer 1
look 1
looking 2
love 1
maker 1
man 2
manage 2
manipulating 1
material 1
mcmillan 1
meanwhile 2
megadodo 1
memories 1
middle 1
mission 1
mk 4
money 1
most 2
mostly 1
mother 2
mueller 1
name 1
never 1
new 1
no 1
number 1
observe 1
of 14
offer 1
offering 1
offices 1
on 9
one 2
only 1
opening 1
orbit 1
original 1
out 2
over 1
owner 1
package 1
part 1
passage 1
pay 2
payout 1
performs 1
plan 1
planet 4
pluto 1
point 1
points 1
population 1
portions 1
positive 1
possible 1
prefect 1
presents 1
publications 1
publishing 1
pursue 1
questionable 1
raising 1
random 8
realizes 1
realizing 1
relief 1
remaining 1
report 1
reporter 2
results 1
return 1
returned 2
reveal 1
revealed 2
reverse 1
rupert 2
safe 1
safekeeping 1
samples 1
sandwich 1
sector 1
sends 1
set 1
she 4
ship 2
shortly 2
shot 1
sightsee 1
simple 1
situation 1
so 2
solar 1
space 2
spaceship 1
species 1
sperm 2
starts 1
statement 1
stavro 1
stavromula 1
steals 1
stores 1
survives 1
system 2
take 2
taken 1
takes 1
talk 1
teenage 1
temporal 1
tenth 1
thanks 1
that 12
the 52
their 6
them 2
themselves 1
then 1
there 1
they 3
theyre 1
things 1
this 1
those 1
timetravel 1
to 33
together 2
travel 1
travels 2
tricia 6
trillian 6
try 1
universe 1
universes 1
unknown 1
unstable 1
until 1
up 1
upon 1
use 1
using 2
version 1
via 1
visits 1
vogons 3
wanting 1
was 3
weapon 1
when 1
which 2
who 1
with 6
without 1
would 1
yelling 1
zaphod 1
