19839902
/m/04q250k
/m/04q250k
Carolyn Mackler
2003
a 6
about 1
actually 1
adolescent 1
africa 1
also 2
always 1
an 2
anais 1
and 12
anyone 1
appearances 1
around 1
as 3
at 1
baggy 1
become 1
becomes 1
been 1
best 1
big 1
brother 2
buddy 1
but 1
buys 1
by 1
byron 1
calls 1
change 1
changes 1
clothing 1
columbia 1
committing 1
completely 1
complimenting 1
control 1
corps 1
date 1
daughter 1
denial 1
doesnt 2
done 1
dr 1
dyes 1
early 1
emotionally 1
end 1
escape 1
event 1
external 1
eyebrow 1
fat 2
father 1
feel 1
feels 1
finally 1
fine 1
fooling 1
for 3
forced 1
fourth 1
friend 1
friends 1
froggy 2
from 1
gains 1
gets 1
ginny 1
girls 1
goes 1
guy 1
hair 1
has 2
have 1
her 18
herself 2
hides 1
high 1
him 1
how 1
idolizes 1
impact 1
important 1
in 5
inside 1
is 8
it 1
joined 1
kickboxing 1
know 1
later 1
life 1
light 1
likes 1
long 1
looks 1
make 1
makes 1
making 1
manhattan 1
matter 1
mom 1
more 1
mother 3
moved 1
much 1
must 1
new 2
novel 1
obsessed 1
of 3
older 2
on 3
one 1
opinion 1
or 1
order 1
out 1
outside 1
overweight 1
peace 1
person 2
phyllis 1
physically 1
pierced 1
positive 1
private 1
psychologist 1
purple 1
queen 1
rape 1
realizes 4
really 1
reasons 1
rebellious 1
reevaluate 1
right 1
school 1
seattle 1
see 3
sees 1
selfconscious 1
shannon 1
she 19
shreves 2
sister 1
skinny 1
sophomore 1
stands 1
starts 1
suspended 1
takes 1
telling 1
than 1
that 5
the 12
this 4
ticket 1
to 10
towards 1
understand 1
university 1
unsatisfactory 1
up 2
value 1
virginia 2
want 1
wants 1
was 1
way 1
wearing 1
weight 1
welsh 1
what 1
while 1
who 2
whom 2
with 2
without 1
