699520
/m/033tz2
/m/033tz2
Fannie Flagg
1987-08-12
116 1
120s 1
150s 1
a 21
about 1
abused 1
act 1
advances 1
african 1
after 3
alabama 1
alive 1
all 1
along 1
also 2
alterego 1
amazonlike 1
american 1
amusement 1
an 3
and 30
anonymously 1
another 1
appropriately 1
are 3
around 1
arrested 1
as 4
at 8
audacity 1
aunt 2
away 2
back 4
bailing 1
barbecue 1
barbecued 2
be 2
became 2
becomes 3
been 1
before 1
begins 4
behind 1
being 1
believed 2
bennett 6
best 1
between 2
bible 2
big 7
birmingham 1
black 1
body 3
boldness 1
book 1
bottom 1
bring 1
brothers 2
buddy 3
buddys 1
buried 1
business 1
bustling 1
but 3
buy 1
by 6
caf 5
cafe 5
called 1
came 2
can 1
cancer 1
car 1
care 1
caring 1
case 1
cast 1
changes 1
chapter 1
chapteropening 1
character 1
characters 3
charm 1
cleo 1
closest 1
come 3
comes 1
communication 1
confesses 1
controversy 2
cosmetics 2
couch 1
couches 1
could 1
created 1
creates 1
customers 1
date 1
daughterinlaw 1
death 1
decided 1
decides 1
depression 1
details 1
detectives 3
devastated 1
develop 1
died 2
dies 2
disappearance 2
dislikes 1
dismissed 1
do 1
does 1
door 1
down 1
due 1
during 1
ed 1
efforts 1
end 1
ending 1
establish 1
evelyn 12
evelyns 1
even 2
eventually 1
ever 2
family 4
familys 1
feeding 1
feel 1
feels 1
fell 1
few 1
fictional 1
fill 1
finally 1
first 2
following 1
for 9
form 1
forwards 1
found 2
frank 6
franks 2
friends 1
friendship 1
from 13
gained 1
garden 1
george 7
georgia 4
get 3
gets 2
girl 1
gives 1
go 3
god 2
goes 2
going 1
great 1
grew 2
group 1
growing 2
had 3
halftime 1
happier 1
hartman 2
has 2
have 1
having 1
he 2
head 2
heels 1
her 17
herself 1
him 1
his 3
hit 1
hobos 2
home 5
hormones 1
house 5
how 1
however 2
husband 5
hyperviolent 1
i 2
idgie 18
idgies 1
ignored 1
ii 1
illness 1
imogene 1
in 18
infant 1
inseparable 1
inspired 1
intimate 1
intimidated 1
into 2
investigate 1
investigating 1
iron 1
is 10
it 3
jail 1
jamison 1
job 1
jumps 1
kay 1
kept 1
kidnap 1
killed 1
knew 1
known 1
lady 1
lake 1
lashes 1
lashing 1
lasting 1
later 2
learned 1
learns 1
leave 1
leaves 1
left 1
letter 2
lies 2
life 4
like 1
little 2
live 1
lives 1
local 1
lodge 3
lonesome 1
looks 1
lose 1
love 2
luck 1
made 2
mail 1
makes 1
man 1
married 2
marry 1
mary 1
me 1
meets 2
members 1
men 1
menopause 1
mentioned 1
mid180s 1
minister 2
missing 1
money 4
more 4
mother 1
moved 1
mrs 9
much 1
murder 1
my 2
named 1
narration 1
narrations 2
narrator 1
neighbor 1
never 1
new 1
newspaper 1
ninny 5
not 1
nothing 1
novel 4
nursing 1
of 30
on 7
once 1
one 5
only 1
onzell 2
opinions 1
or 2
order 2
other 2
out 4
outlook 1
outside 1
over 2
page 3
paid 1
papa 2
part 1
passing 1
pay 1
people 4
period 2
periods 1
pointless 1
promised 1
protest 1
purpose 1
question 1
quickly 1
raise 1
ran 1
rave 1
reader 1
realization 1
reasons 1
receives 2
reconnect 1
relies 1
reputation 1
resident 2
revealed 1
reveals 1
revival 1
ruth 17
ruths 1
said 1
same 2
satisfaction 1
school 1
second 1
selling 1
sent 1
servants 1
serve 1
served 1
set 1
several 2
shall 1
she 18
shortly 1
sibling 1
sign 1
sipsey 3
skillet 1
smokey 1
so 2
some 4
something 1
son 5
source 1
stand 2
start 1
starts 1
still 2
stop 5
stopped 1
stories 5
story 2
suggestion 1
summers 1
take 1
taught 1
tell 1
tells 1
testifies 1
than 2
that 11
the 88
their 3
them 1
then 3
these 1
they 3
this 2
though 1
threadgoode 15
threadgoodes 3
threeday 1
through 3
throughout 1
time 4
times 1
to 36
tomboy 1
torn 1
towanda 1
toward 1
town 2
train 1
trial 1
trip 1
turn 1
two 4
uneasy 1
unrepentant 1
until 1
up 4
urge 1
us 1
used 1
uses 1
vacation 1
various 2
virtuous 1
visit 2
visited 1
visuals 1
war 1
was 15
watched 1
way 1
weekend 1
weekly 1
weems 1
weight 1
went 3
were 5
what 1
when 9
where 3
which 3
while 5
whistle 5
who 8
whose 1
will 2
with 10
worked 1
workers 1
world 1
year 1
years 2
you 4
young 2
youngest 1
your 2
