9064841
/m/027wb__
/m/027wb__
Irene Hunt
1964
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 10
about 1
accept 1
after 3
again 1
all 1
already 1
also 1
among 1
an 1
and 17
angered 1
approve 1
are 4
army 3
around 1
as 3
at 2
attack 1
aunt 1
back 2
barn 1
because 1
becoming 1
been 2
before 1
begins 1
begun 1
being 1
better 1
between 1
bill 3
blessing 1
boy 1
boyfriend 1
brother 2
brothers 2
burdow 1
burning 1
busily 1
but 3
by 5
care 2
cause 1
child 1
civil 1
college 1
concentrate 1
confederacy 1
confederate 1
contaminating 1
county 1
cousin 3
creighton 1
creightonn 1
crisis 1
dave 1
day 1
death 1
decision 1
deserter 1
deserters 1
do 1
down 1
driving 1
during 2
eager 1
eb 3
end 1
ends 2
events 1
eventually 1
evil 1
face 1
fact 1
family 5
familys 1
far 1
farm 3
father 5
few 1
fight 1
finally 1
finds 1
for 2
found 1
friend 2
from 5
gang 1
get 1
gets 1
given 1
goes 1
going 1
good 3
grown 1
guy 1
hard 1
hardships 1
has 5
he 11
head 1
heart 1
heats 1
help 2
helping 1
her 2
him 4
his 7
hospital 1
house 1
how 1
however 4
illinois 1
in 4
innocent 1
into 2
is 15
it 2
jasper 1
jenny 5
jethro 15
jethros 2
john 3
join 2
joined 1
joins 2
just 2
killed 1
later 1
learns 2
leaving 1
led 1
left 1
letter 1
life 1
lincoln 2
little 2
live 1
lives 1
look 1
love 1
man 2
marriage 1
married 1
mary 1
men 4
months 1
mossing 1
most 1
must 2
nancy 1
news 1
newton 2
no 1
not 2
now 1
of 13
off 2
on 6
one 2
or 1
out 1
over 1
overhears 1
president 3
prior 1
program 1
property 1
punishment 1
receiving 1
replies 1
responsible 1
return 1
returns 1
reunited 1
riding 1
runs 1
sabotage 1
safely 1
saving 1
schoolmaster 1
set 1
shad 6
shadrach 1
she 2
shopping 1
shot 1
should 1
sister 2
so 1
sons 1
soon 1
split 1
spotlight 1
staying 1
story 1
struggle 1
suffers 1
take 2
taken 1
talking 1
task 1
telling 1
tells 1
tend 1
tensions 1
that 11
the 45
their 1
them 3
these 1
they 2
thinks 1
this 1
three 2
time 1
times 1
to 12
tom 2
too 1
townspeople 1
travels 1
trouble 1
troublemakers 1
turbulent 1
turned 1
two 1
union 4
up 4
upsidedown 1
war 7
warned 1
was 1
water 1
well 1
when 3
whether 1
while 2
who 1
wife 1
will 2
willing 1
with 7
working 1
world 1
wortman 1
wounded 1
writes 1
yale 1
young 4
youngest 1
