11220762
/m/02r421d
/m/02r421d
Christine Feehan

a 4
about 1
and 2
attempt 1
away 1
battle 1
beautiful 1
between 1
book 1
brought 1
caves 1
compulsion 1
different 1
each 2
enemies 1
father 1
find 2
first 1
forest 1
from 1
get 1
had 1
has 3
help 2
her 1
hidden 1
him 1
his 1
hunting 2
icy 1
in 1
is 1
it 2
kill 1
king 1
knife 1
knowing 1
life 1
love 1
lovemaking 1
make 2
mate 1
meet 1
meets 1
mountains 1
natalya 4
of 2
other 2
out 1
repeatedly 1
resided 1
rumored 1
sessions 1
some 1
soren 1
spells 1
strives 1
that 3
the 7
they 3
to 6
troll 1
try 1
two 1
vampire 2
vikirnoff 3
was 1
where 1
while 2
who 1
with 2
xavier 1
