16695961
/m/03yncg7
/m/03yncg7
Warren Ellis
2008-10

105 2
107 1
a 20
able 1
about 1
accident 1
actually 1
addition 1
advanced 1
aether 1
aetheric 3
after 1
against 1
agree 1
air 1
airplanes 1
albert 1
allowing 1
along 1
also 2
alternate 1
among 1
an 5
and 22
anime 1
another 1
ansiblelike 1
army 1
as 3
assault 1
at 3
back 2
badly 1
be 1
bear 1
became 1
been 3
before 1
begin 1
behind 1
being 2
below 1
beneath 3
between 2
beyond 1
blake 1
bombing 1
bridge 1
britain 7
british 5
brother 1
but 1
by 6
calculation 1
came 1
cant 1
captain 1
case 2
caused 1
chance 1
channel 1
chest 1
colleague 1
collider 1
colony 1
combat 1
commissioned 1
communication 1
communications 1
community 1
computer 2
constructed 1
contained 1
containing 1
continue 1
covering 1
create 1
created 1
creating 1
crowd 1
damage 1
deducing 1
destabilize 1
destroying 1
destruction 1
detective 1
directly 1
do 2
doctor 1
doesnt 1
done 1
dr 1
drawn 1
drives 1
due 1
dumbstruck 1
dunmow 1
duty 1
einstein 1
eliminating 1
empire 1
enabled 1
end 1
engaged 1
engineer 1
engineering 1
escaping 1
exist 1
existence 2
existing 1
experienced 1
explains 3
exploits 1
face 1
fact 2
fading 1
failed 1
far 1
favorably 1
few 1
fictional 1
figure 2
final 1
finally 1
find 2
finest 1
finish 1
firebombing 1
fixing 1
fleet 2
flickering 2
for 4
found 1
french 1
friend 1
from 4
front 1
future 1
going 2
gone 1
government 3
greatest 1
had 1
hadron 1
handheld 2
has 4
have 1
having 2
he 10
head 1
heavy 1
held 1
her 1
him 4
himself 1
hired 1
his 7
history 1
holmes 1
home 1
horrified 1
hours 1
how 1
however 2
identifies 1
if 1
in 16
inanna 7
includes 1
including 2
indeed 1
information 1
inspector 1
intellect 1
into 2
invasion 1
investigate 1
investigating 2
is 20
it 1
its 1
japanese 1
jarratt 1
jonathan 1
just 1
kidnapped 1
kidnapping 2
killing 1
large 3
leaving 1
let 1
london 6
loose 1
losing 1
man 1
manage 1
march 1
mecha 1
mechanics 3
merged 1
meyer 1
minds 1
missing 1
modern 1
movies 1
mud 2
murder 2
murdering 1
narration 1
near 1
neither 1
none 1
nor 3
not 3
notes 1
notice 1
notices 1
now 2
number 3
observers 1
obsessed 1
of 25
old 1
on 4
one 2
onto 1
order 2
originally 1
other 4
others 1
out 2
outraged 1
outside 2
over 1
period 1
persistent 1
personal 1
piece 1
pistol 1
planets 1
pluto 1
popular 1
powered 1
preparation 1
preparing 1
press 1
prevent 2
prisoner 1
probe 1
promising 1
proposed 1
quantum 1
races 1
raker 11
reactionless 1
real 2
realities 1
realized 1
realms 1
realworld 1
reason 1
recruited 1
relativity 1
removes 1
repair 1
return 2
returns 1
reveals 2
rival 1
river 2
robert 1
roommate 1
royal 1
ruritania 4
ruritanian 3
sax 2
science 1
scientist 1
scientists 2
scotland 1
secret 1
seeing 1
sent 2
service 1
set 1
setting 1
several 1
sexton 1
she 3
sherlock 1
shoots 1
silence 1
society 2
solve 1
some 1
space 1
spacecraft 1
special 1
specializing 1
spectral 1
standing 1
start 1
states 1
steampunk 1
still 1
stories 2
story 1
stranded 1
string 2
surmises 1
surmising 1
technology 2
television 1
than 1
that 18
the 54
their 1
then 1
theory 1
there 1
therefore 1
they 2
thing 1
things 1
think 1
this 1
thought 1
through 2
thus 1
time 3
to 21
tour 1
traces 1
tunnels 1
two 2
twoway 1
type 1
unable 1
underground 1
up 1
using 2
victim 2
villain 1
vital 1
vogel 9
war 4
was 6
wasnt 1
watcham 8
way 1
weapon 1
were 2
where 2
which 3
who 1
whom 1
will 2
with 7
within 1
witnessed 1
working 2
world 4
worlds 1
would 1
written 1
yard 1
year 1
zenda 1
