1325312
/m/04sxt4
/m/04sxt4
Ray Bradbury

{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/070l2": "Soft science fiction"}
100 1
23 1
54yearold 1
a 19
about 7
act 1
advertises 1
affection 1
after 4
ages 1
agrees 1
air 2
all 3
also 1
among 1
an 2
and 48
another 1
apart 1
are 4
arrive 1
as 5
asks 1
at 7
attention 1
away 3
back 5
backwards 2
bad 1
bag 1
balloon 3
barber 1
be 3
because 3
before 5
begging 1
begins 2
being 1
best 1
birthdays 1
bizarre 1
blocked 1
blows 2
both 4
boy 2
boys 13
briefly 1
bringing 1
broken 2
broods 1
bump 1
but 9
by 3
can 1
candy 1
cannot 1
carnival 13
carousel 7
casts 1
charles 7
child 1
choking 1
cigar 1
claims 1
close 2
closest 1
coffin 1
come 4
comes 4
coming 2
contact 1
control 1
convince 1
cooger 9
cotton 1
covered 1
crushes 1
crying 1
dancing 1
dark 10
day 6
dazed 1
death 3
deeply 1
depths 1
despair 1
destroys 2
die 1
done 1
down 1
dream 1
drives 1
dust 3
earlier 1
easy 1
edge 1
electricity 1
electrico 1
encounter 1
end 1
enthralled 1
excited 1
explore 1
faces 1
falls 2
father 6
featuring 1
feeling 1
fight 2
finally 1
find 2
finds 2
flies 1
foley 3
follow 1
for 5
forcing 1
forward 1
found 2
fourteenth 1
friends 1
from 2
funeral 1
get 2
giant 1
girl 2
go 3
goes 3
going 1
gone 1
good 1
got 1
grabs 1
grade 1
grille 1
growing 1
halloway 12
hand 2
handbill 1
handle 1
happened 1
happiness 2
has 5
he 20
heart 1
help 2
her 11
hide 3
hiding 1
him 13
himself 1
his 6
holds 1
home 1
house 2
how 2
huge 2
hysterically 1
illustrated 2
in 14
including 1
inside 1
insists 1
into 3
introduces 1
iron 1
is 22
it 2
jim 20
join 1
jumps 1
just 1
keep 2
kills 2
knocks 1
know 1
late 1
later 3
laugh 1
laughing 1
laughter 2
learn 2
leave 1
library 2
life 1
lightning 1
lightningrod 1
like 1
little 1
local 1
locked 1
looks 1
lost 1
love 1
machine 1
make 1
man 9
matter 1
maze 3
meet 3
men 1
merrygoround 2
midnight 1
minutes 1
mirror 2
miss 3
misses 1
misshapen 1
morning 1
moves 1
mr 22
music 1
must 1
mysteriously 1
name 2
nephew 1
new 1
next 5
night 5
nightshade 1
not 2
novel 1
nowhere 1
october 1
of 11
off 5
old 1
older 1
on 9
only 1
opens 1
out 6
outsmarts 2
over 1
overcast 1
pandemonium 1
parade 1
path 1
pays 1
philosophically 1
plays 1
police 1
position 1
presence 1
pretends 2
promising 1
pull 1
put 1
quiet 1
rapidly 1
reaches 1
realize 2
recognizes 1
research 1
return 1
revive 1
ride 3
rides 2
rips 1
rod 1
run 4
salesman 2
same 1
save 1
saved 1
says 1
search 1
searching 2
see 2
seeing 1
sees 3
sense 2
set 2
seventh 1
shadow 1
she 1
show 1
shows 1
sidewalk 1
sign 1
similar 1
singing 1
situation 1
smells 1
smoke 1
so 1
some 1
someone 1
something 1
son 2
soon 1
soul 1
spells 1
spinning 1
start 1
starts 1
stay 1
steps 1
stop 2
stops 2
store 1
storm 1
strange 1
street 1
streets 1
stupor 1
such 1
supposedly 1
sure 1
survive 1
switch 1
take 1
takes 1
talk 1
talking 1
talks 1
tattooed 1
tattoos 1
teacher 1
tell 1
tells 7
tents 2
that 15
the 82
their 6
them 10
then 4
they 17
things 1
this 1
three 1
through 2
throughout 1
tight 1
time 1
to 44
toward 1
towards 1
townsfolk 1
townspeople 1
tries 5
turns 1
twelve 1
two 2
unbelievable 1
under 1
up 7
use 1
verge 1
visiting 1
wait 1
wants 1
watch 1
way 1
weapon 1
what 3
when 7
where 3
while 2
who 8
whose 1
will 24
william 1
window 1
witch 5
with 5
works 2
wounds 1
year 1
years 2
young 2
