5021006
/m/0c_5dl
/m/0c_5dl
Barbara Mertz
1986
1856 1
a 11
almost 1
also 2
always 1
amelia 5
an 1
and 4
antiquities 1
appears 1
are 1
assume 1
at 1
because 1
behavior 1
both 1
but 1
cairo 1
cat 1
communion 1
criminal 2
dahshoor 1
debenham 1
demoralized 1
desert 1
does 1
donald 3
egypt 1
egyptian 1
either 1
emersons 1
englishman 1
enid 2
excavate 1
family 1
finally 1
find 1
first 1
for 3
fraser 1
from 1
gang 1
gifts 1
god 1
guises 1
habit 1
hand 1
has 1
hashish 1
her 2
herself 1
his 1
however 1
illegally 1
in 9
including 1
incorrectly 1
interacts 1
interest 1
is 4
it 2
keeper 1
key 1
lady 1
large 1
later 1
learns 1
looking 1
master 2
mazghuna 1
means 1
meanwhile 1
name 1
named 1
not 1
novel 1
number 4
obtained 1
of 10
offering 1
one 1
only 2
or 2
others 1
person 1
personally 1
pharaohs 1
previous 1
pseudonym 1
pyramids 1
ramses 1
reader 1
real 1
reappears 1
reform 1
relationships 1
return 2
returning 1
scandalizes 1
seeing 1
sees 1
series 1
set 2
seth 1
sethos 4
she 1
society 1
some 1
stolen 1
story 1
takes 2
taking 1
the 14
they 1
through 1
tied 1
time 1
to 4
troubled 1
under 1
ways 1
when 1
which 2
whose 1
wing 1
year 1
young 1
