9031295
/m/027v4nn
/m/027v4nn
Jack Finney

111 5
170s 4
1880s 2
1887 1
1888 2
a 9
able 3
aboard 2
about 1
according 1
accounts 1
act 2
action 2
actions 2
actual 1
after 2
again 2
agent 2
agrees 1
aide 1
already 1
also 2
altered 1
an 3
and 26
another 3
any 3
archibald 1
are 2
arranges 1
artist 1
as 3
assurances 1
assured 1
at 3
attempt 1
attraction 1
auntand 1
await 1
back 3
be 6
become 1
before 1
belatedly 1
belfast 1
between 1
blissful 1
blizzard 1
board 1
book 1
born 1
both 1
brieflived 1
but 6
butt 10
by 5
calls 1
can 2
captain 1
carefully 1
cause 1
chance 1
changing 1
character 1
children 1
choice 1
clandestine 1
close 1
complete 1
completes 1
completion 1
concludes 1
confidential 1
construction 2
course 2
danziger 4
day 1
death 1
desire 1
devastating 1
did 2
die 3
died 1
dissatisfied 1
distract 1
do 2
does 2
done 1
down 1
dr 3
during 1
eavesdrop 1
emotionally 1
end 1
ending 1
ensure 1
ensured 1
enveloped 1
epilogue 1
europe 2
eventually 1
every 1
fact 1
fails 2
father 1
feeling 1
figured 1
finally 2
find 1
finds 1
first 1
for 4
foregoes 1
forewarned 1
found 1
founder 1
from 2
frustrated 2
further 1
get 2
getting 1
girl 5
go 1
going 1
graphic 1
great 1
had 4
happen 1
happened 1
has 11
have 4
having 1
he 16
head 2
helmsman 1
help 1
her 1
heroic 1
him 3
himself 1
his 11
historical 1
home 1
hope 1
how 1
however 2
i 2
iceberg 2
impacts 1
in 17
incomplete 1
independently 1
information 1
informs 1
intent 1
interaction 1
interfere 1
is 23
it 3
jotta 5
julia 4
killed 1
knowing 1
knows 2
laying 1
learn 1
learned 1
leave 1
less 1
life 1
lifeboats 1
little 1
loss 1
major 2
make 1
manner 1
married 1
mauretania 1
may 1
meeting 4
meets 1
memories 1
men 1
met 1
might 3
military 1
missed 1
mission 4
more 1
morely 1
moribund 1
morley 30
motivated 1
motive 1
mysterious 1
near 1
needed 1
new 3
no 2
not 8
nothing 1
novel 1
now 2
occur 1
of 15
off 3
offer 1
old 1
on 6
once 2
one 2
only 4
onto 1
opponent 1
opposes 1
or 2
original 3
out 1
parents 1
past 1
peace 1
permitted 1
personal 1
persuades 1
pieces 1
place 1
planned 1
point 1
possible 1
present 1
president 1
presidents 1
presumably 1
prevent 3
prevented 2
prien 7
primary 1
project 7
purpose 3
put 1
quiet 1
realize 1
realizes 3
refuses 1
report 1
required 1
residual 1
responsibility 1
return 1
returned 2
returning 1
returns 3
rms 1
roosevelt 2
ruben 1
sabotage 1
safely 1
sail 1
sailed 1
scene 1
see 2
seeing 1
seemingly 2
sees 1
sent 1
seriously 1
setting 1
settled 1
ship 7
sinking 1
sinks 1
smith 1
society 1
some 1
son 1
soon 2
spring 1
spurns 1
still 1
stop 1
stranded 1
strikes 1
supplies 1
survive 2
survived 1
taft 2
take 2
taken 1
ted 1
tell 1
tessie 1
that 12
the 62
them 2
then 1
theodore 1
they 2
this 2
time 7
timeline 1
titanic 2
to 47
together 1
torn 1
travel 2
traveller 2
travels 2
tries 1
trip 1
try 2
turn 1
two 1
unable 1
under 1
until 1
up 1
vaguely 1
vanished 2
vanishing 1
vaudeville 1
vessel 2
visit 1
visiting 1
war 5
warning 1
was 4
way 1
we 1
were 1
what 3
whatever 1
when 2
where 3
which 4
who 6
whom 2
whose 1
why 1
will 5
willy 2
with 8
woman 1
women 1
works 1
world 4
would 6
written 1
year 1
years 1
york 2
z 9
