5400938
/m/0dk5fn
/m/0dk5fn
Christopher Bulis

134 1
a 58
abandon 1
able 1
aboard 2
about 2
accepts 1
accidentally 3
accompany 1
according 1
accumulators 3
across 3
acting 1
admit 1
after 4
again 2
alien 4
all 5
alone 1
along 1
already 1
also 1
although 2
always 1
amelia 17
amelias 3
american 4
amount 1
ampoule 5
ampoules 3
an 9
and 118
angelic 1
animal 2
another 3
any 3
anybody 1
anything 1
apart 1
apparently 1
appear 1
appears 2
approaching 1
are 15
area 1
argument 1
arm 3
arrive 2
arrives 3
arriving 1
artron 2
as 24
assemble 1
at 10
atmospheric 1
atop 1
attack 1
attacked 4
attempt 2
attempts 1
attention 1
attracts 1
australian 1
autonomously 1
away 5
back 10
backdrop 1
based 1
bats 2
battle 1
be 15
beach 3
become 3
becoming 1
been 9
before 7
began 1
begin 4
begins 3
being 3
believes 3
belly 1
belongs 1
beloved 1
benefit 1
benton 5
bentons 1
bessie 1
between 1
beyond 4
bids 1
bites 1
boarded 1
boat 1
body 4
bomb 1
bombs 1
both 1
braineye 2
bridge 22
brigadier 6
bring 1
british 1
broken 1
brokk 8
brokks 6
bubble 3
building 1
buildings 2
bureau 1
burning 1
but 20
by 22
caldera 2
came 1
cameraman 1
can 6
capacity 1
capture 1
car 1
care 1
carved 1
case 1
cathedral 1
caught 1
cause 1
caused 1
causing 1
cease 1
ceases 1
changed 4
chemical 1
chemicals 1
claim 1
claiming 1
claims 1
climb 2
coast 1
coexisted 1
cold 1
come 1
comes 1
coming 2
commercial 1
companions 1
completely 2
components 1
concludes 1
condemned 1
conduct 1
confronts 1
connected 1
consequences 1
console 1
constitution 12
constructed 1
consume 1
consumes 1
containing 1
contents 3
continent 1
continue 1
control 1
convinced 1
convinces 1
cool 1
core 1
corner 1
could 2
covering 1
crabs 5
crash 1
crashed 1
crashes 1
creates 1
creation 1
crew 1
crewman 1
crewmen 1
crystals 2
currently 1
cut 1
damaging 2
dangerous 2
daughter 1
david 2
day 1
de 1
dead 2
deal 1
death 1
decays 1
deck 1
deity 1
demand 1
desperate 1
destroy 1
destroyed 1
destroying 1
destroys 2
determine 1
devastated 1
device 2
devour 1
dies 1
disabled 1
disappeared 1
discover 1
discoveries 1
disgraced 1
dispose 1
distance 1
distortion 1
divided 1
do 2
doctor 34
doctors 2
doing 1
done 1
dormancy 1
dormant 2
down 7
dress 1
dressed 1
drinking 1
drinks 1
driven 1
drives 2
drove 2
drug 1
drugs 2
due 1
earth 4
eaten 1
eccentric 1
effectively 1
efforts 1
electrical 1
elsewhere 1
embedded 1
emerges 1
empty 1
enable 1
enabling 1
energy 3
england 2
enters 1
entire 1
entity 2
eruption 2
erupts 1
escape 6
escapes 1
even 1
ever 1
exchanger 1
exile 1
exist 3
existed 2
existence 2
expedition 6
expeditions 1
explain 1
explore 4
explosion 1
extinct 1
eye 4
eyes 1
face 1
fact 3
fade 3
fails 2
faith 1
fall 1
falls 3
farewell 1
fate 1
father 1
fauna 2
fear 1
fearing 1
fell 2
ferraro 3
few 1
field 2
fifty 1
fight 3
figure 1
figures 1
film 2
films 2
find 8
finding 1
findings 1
finds 3
fire 3
first 2
fit 1
fix 1
flatly 1
flee 1
floating 1
floats 1
flora 2
flung 1
following 1
footage 1
for 18
force 2
forced 4
foreheads 1
forest 1
form 3
former 1
fortunately 1
fought 2
found 3
fragment 5
fragments 7
freak 1
frequency 1
friends 1
from 32
full 2
funds 1
futuristic 1
gave 1
generating 1
generators 1
geothermal 1
get 1
ghostlike 1
ghosts 1
giant 11
giants 1
gigantic 1
gigantism 1
go 1
gobetween 1
god 2
goddess 2
goes 2
grabs 1
granted 2
grateful 1
grenade 1
ground 1
group 1
grover 12
grovers 8
grow 1
growth 3
guard 1
guilt 2
gunfire 1
gunpoint 1
had 2
handed 1
handle 1
happen 1
happened 1
happy 1
harder 1
has 19
have 14
having 1
he 23
headlines 1
heads 1
hear 1
heart 1
heat 2
help 2
her 36
here 2
herself 3
hes 1
hide 1
highpressure 1
him 11
himself 1
his 21
history 4
hold 1
holds 2
holographic 1
hong 1
hope 1
hostage 2
how 1
however 7
hq 7
hqs 1
human 1
humanoid 1
husk 1
hybrid 1
hypnotised 1
hypnotises 1
if 1
image 3
imbued 1
implies 1
impossibly 1
in 46
influence 1
infuriated 1
infuriating 1
insane 1
installed 1
instructions 1
intending 1
intends 1
interface 3
interfering 1
intervening 1
into 11
intruders 1
investigate 1
invisible 1
is 36
island 16
islanders 1
it 19
its 4
itself 2
japan 1
jet 1
jungle 4
just 5
kill 1
killed 1
killing 1
kills 1
knocks 1
knowing 2
knows 1
kong 1
laboratowy 1
lagoon 3
lapse 1
lashes 1
last 1
lava 1
lead 1
leads 1
leaflets 1
learned 1
leave 1
leaves 1
left 1
legend 1
legendary 1
lethbridgestewart 1
life 7
lights 1
limited 1
livelihood 1
living 2
liz 18
lizs 1
located 1
location 1
locked 1
london 4
longer 2
longshot 1
looking 2
loses 1
losing 1
loss 1
lost 1
made 1
maid 1
making 1
man 2
manages 3
marching 1
marks 1
marriage 1
marshal 1
masked 1
material 1
means 1
meanwhile 1
members 1
men 2
mental 1
merge 1
merged 1
mesmeric 1
middle 1
might 1
mike 7
millionaire 1
minds 1
mineral 1
miniature 3
missing 2
moment 1
monster 1
monstrous 1
more 2
morning 1
most 1
mothership 1
motive 1
movie 1
munich 1
murdered 1
must 6
nancy 24
nancys 1
natives 2
never 1
new 5
newspaper 1
nexus 1
night 2
no 2
normal 2
norton 1
not 5
now 2
nuclear 1
nuns 1
obvious 1
occurs 1
ocean 1
of 65
off 11
offices 1
old 1
omicron 3
on 28
once 5
one 7
only 3
