24989546
/m/09ggx41
/m/09ggx41
Julie Anne Peters
2009-09-08
{"/m/03mfnf": "Young adult literature"}
a 7
above 1
abuse 2
addict 1
and 4
apartment 1
as 3
autism 1
be 1
because 1
begins 1
believes 1
best 1
both 1
boy 1
brother 1
can 1
closer 1
come 1
crush 1
daily 1
died 1
drug 1
emotional 1
experience 1
friend 1
get 1
girl 1
girlfriend 1
graduate 1
happens 1
hartt 1
has 1
have 1
he 1
her 5
high 1
home 1
in 3
into 1
is 4
johanna 4
johannas 1
lesbian 1
life 1
living 2
love 1
mild 1
mother 1
novak 1
occupied 1
of 4
older 1
out 1
parents 1
part 1
physical 2
reeve 3
reeves 1
robbie 2
ropes 1
school 1
secret 1
senior 1
she 5
sister 2
so 1
some 1
suffers 1
teacher 1
tessa 2
that 1
the 6
through 1
to 5
tries 1
tutoring 1
twin 1
uncle 1
verbal 1
violent 1
wants 1
who 1
with 3
