9651089
/m/02pn4r8
/m/02pn4r8
Warren Leight

a 2
accept 1
alcoholic 1
alternate 1
and 6
another 1
apartment 1
assuming 1
between 1
breadwinner 1
but 1
cabarets 1
cannot 1
career 1
city 1
clifford 2
course 1
decades 1
dedicated 1
describes 1
emotional 1
era 1
eventually 1
family 2
father 1
followed 1
forsaken 1
gene 3
glimmer 1
gradually 1
haphazard 1
has 1
he 1
his 6
home 1
is 1
jazz 1
job 1
journey 1
life 1
more 1
mother 1
music 1
narrator 1
new 1
nightclubs 1
of 4
offering 1
only 1
over 1
parents 1
play 1
refuses 1
regular 1
relationship 1
role 1
scenes 1
selfabsorbed 1
shared 1
smokefilled 1
son 1
spartan 1
support 2
talented 1
terry 1
than 1
the 9
their 1
them 1
three 1
to 3
trumpeter 1
tumultuous 1
unravels 1
who 1
wife 1
with 1
york 1
