8201953
/m/026v_pc
/m/026v_pc
Theodore Dreiser
1947
a 3
affair 1
after 1
aileen 3
an 1
and 2
as 1
back 1
becomes 2
berenice 3
bright 1
but 1
by 1
close 1
cowperwood 3
decides 2
develop 1
dies 2
disease 1
earl 1
england 1
enraged 1
estranged 1
finally 1
finds 1
fix 1
for 1
frank 1
has 1
he 3
his 3
hospital 1
in 2
india 1
inheritance 1
intended 1
intends 1
is 3
it 1
lawsuits 1
lives 1
london 1
lorna 1
maris 1
married 1
meanwhile 1
move 1
moved 1
of 2
out 1
over 1
poor 1
poverty 2
railway 1
realises 1
relative 1
ruse 1
set 1
she 4
shortly 1
squandered 1
stane 1
states 1
still 1
system 1
take 1
the 3
there 2
to 8
tollifer 1
too 1
travels 1
tries 1
underground 1
united 1
up 2
was 1
when 1
where 2
while 1
wife 1
with 3
