59411
/m/0g5t6
/m/0g5t6
William Shakespeare
1861
{"/m/02xlf": "Fiction"}
a 19
about 1
accept 1
acceptance 1
accusation 1
accusations 1
act 1
actions 1
advance 1
affairs 1
after 2
against 4
agrees 1
aid 1
all 2
also 1
although 1
an 2
and 26
angelo 22
announced 1
another 1
appearance 1
appears 1
are 2
arrange 1
arranged 1
arranges 1
as 10
asks 1
assumes 1
at 3
attempts 1
audience 1
austere 1
aware 1
back 1
banns 1
barnardine 1
be 9
because 1
becomes 1
bed 1
been 3
befriends 1
begs 1
behalf 1
believe 1
believed 1
betrothal 2
betrothedunofficially 1
better 1
between 1
binding 1
blamed 1
brother 2
but 5
buy 1
by 2
can 1
cannot 1
case 1
cause 1
causes 1
church 1
city 3
civil 1
claims 1
claudio 18
clear 1
comic 1
common 1
compels 1
concerns 1
concludes 1
condition 1
considered 1
consternation 1
constitutes 1
consummation 1
continues 1
counsels 1
course 1
darkness 1
deal 1
death 2
decided 1
decides 1
denies 1
develops 1
did 2
died 1
different 1
differently 1
diplomatic 1
disguise 1
disguised 1
does 2
dowry 2
drunken 1
due 2
duke 11
earthly 1
enforce 1
enjoyed 1
enlisting 1
especially 1
estate 1
even 1
eventually 2
evil 1
executed 4
execution 1
exposing 1
fact 2
false 1
feels 1
fever 1
first 3
followed 1
for 7
forced 1
formalities 1
fornication 1
frequently 1
friar 7
friend 2
fulfill 1
goes 1
going 1
government 1
guise 1
had 2
hands 1
harbours 1
has 7
have 2
having 1
he 13
head 4
hears 1
heed 1
her 13
him 7
himself 3
his 8
however 3
husband 1
if 3
immortal 1
in 17
including 1
instead 3
intends 1
intentions 1
intercede 1
interpretation 1
interpretations 1
interpreted 1
into 1
is 15
isabella 17
it 7
judge 3
juliet 3
kate 1
keepdown 1
known 1
lack 1
landing 1
last 1
later 1
law 2
leave 1
leaves 2
left 1
legally 2
levelled 1
liar 1
life 4
like 1
living 1
lodowick 4
lose 1
lost 1
lucio 3
luck 1
lustful 1
main 1
make 1
makes 2
making 1
mariana 8
marriage 5
marriages 1
married 4
marry 1
meeting 1
mercy 1
message 1
might 1
mission 1
moments 1
money 1
most 2
named 1
necessitating 1
new 1
nobleman 1
not 11
novice 2
nun 2
observe 1
obtains 1
occurs 1
of 20
offers 1
on 6
one 2
only 1
open 1
opportunities 1
order 1
over 1
own 1
part 1
people 1
perfect 1
performance 1
personification 1
petition 2
pirate 1
place 1
play 1
pleads 2
plot 1
prepare 1
pretends 1
previously 1
prison 2
prisoner 1
productions 1
proposal 1
proposes 2
prostitute 1
providing 1
public 1
publicly 1
punishable 1
punishment 1
ragozine 1
reaction 1
realises 1
recently 1
refused 1
refuses 3
relents 1
remains 1
reply 1
reputation 1
return 1
returns 1
revealed 1
revealing 1
reveals 1
rule 1
ruling 1
sacrifice 1
same 2
save 2
scene 1
scenes 1
sea 1
see 1
sending 1
sends 1
sent 2
sentenced 1
sex 2
she 8
silence 1
silences 1
silent 1
similar 1
since 1
sister 1
slanders 2
smoothly 1
so 2
some 1
soul 1
spare 1
spy 1
state 1
still 1
strict 2
submit 1
subplot 1
summoned 1
supposed 1
take 1
technicalities 1
technically 1
that 16
the 51
their 4
them 2
then 1
there 1
thereby 1
therefore 1
they 1
thinks 1
this 6
thoughts 1
thwart 1
time 2
to 38
transient 1
trick 2
tricks 1
trouble 1
truthful 1
two 2
undesired 1
unique 1
validity 1
vehemently 1
vienna 2
villain 1
vincentio 2
virginity 1
virtue 1
visits 2
were 2
when 2
which 1
who 3
whose 1
will 3
wishes 1
with 7
women 1
word 2
would 2
yet 1
yields 1
you 1
young 1
