15963557
/m/03qjd77
/m/03qjd77
Robin Jarvis
1991
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 14
ability 1
about 1
act 1
adopted 1
adores 1
african 1
after 6
alice 2
all 3
almost 1
along 3
an 3
and 27
antiques 1
appears 1
approve 1
are 5
army 1
arrival 1
as 7
assumes 1
at 2
attacks 1
aufwader 1
aufwaders 1
aunt 2
banburyscott 2
batty 1
be 1
been 1
before 1
begins 1
being 2
beings 1
believes 1
bemused 1
ben 10
between 1
black 3
boston 6
briefly 1
but 6
by 5
call 2
can 2
cannot 1
catloving 1
cause 1
caused 1
causing 1
centuries 1
certain 1
charity 1
charming 1
cheated 1
child 1
childbirth 1
childish 1
children 4
chocolates 1
committed 1
community 1
condemned 1
confronts 1
cooper 6
cottage 1
crosier 1
cruelty 1
dead 3
deaths 1
deep 2
deliberately 1
delight 1
despite 1
diabolical 1
die 1
diminishing 1
disagreeable 1
discovers 1
ditzy 1
do 1
does 2
dog 2
donating 1
done 1
dora 1
doubts 1
dreary 1
droon 2
dwarflike 1
each 1
eccentric 1
edith 1
eight 1
elderly 2
encounters 1
encourage 1
enormous 1
enraged 1
even 1
evil 1
except 1
expensive 1
fact 1
families 1
fate 2
fell 2
female 1
females 1
few 1
fisher 3
fisherman 2
folk 2
folks 1
for 3
forbidden 1
forcefeeds 1
former 1
foster 2
fostering 1
fraternise 1
friendly 1
friends 1
from 1
fury 1
get 1
gift 1
gigantic 1
gracefully 1
grew 1
grief 1
grossly 1
grow 1
gull 1
halfbreed 1
has 6
hauled 1
have 1
he 4
her 7
herself 1
hesper 1
him 1
his 6
home 3
homes 1
horrifying 1
horror 1
hostel 1
house 1
however 1
human 1
humanoid 1
humans 1
husband 3
immediately 1
in 12
including 1
inflicting 1
instantly 1
into 1
invited 1
involved 1
is 7
it 3
its 1
jennet 5
journal 2
joyster 4
killed 2
kind 2
large 1
late 2
leave 1
lecturer 1
lies 1
lifestyle 1
liking 1
little 1
live 1
lives 1
living 1
lords 2
love 1
lying 1
magic 1
majority 1
making 1
managed 1
mannerisms 1
many 2
matilda 1
meaning 2
meanwhile 1
meets 1
mentions 1
miss 10
mistress 1
money 1
months 1
most 2
mother 1
mrs 10
much 1
mysterious 1
named 2
nathan 1
neighbours 1
nelda 3
never 1
new 1
newcomer 1
not 3
nothing 1
obese 1
oceans 1
odd 1
of 17
off 1
old 2
older 1
on 2
once 1
oona 2
opens 1
or 3
orphan 1
other 2
over 1
overcome 1
own 1
pages 1
parents 3
past 2
people 1
plentiful 1
popular 1
possesses 1
postmistress 1
practically 1
premonition 1
produced 1
prosper 1
prudence 1
pushed 1
reads 1
recall 1
reclusive 1
refuses 1
relish 1
residents 1
returns 1
revenge 1
rodice 1
roslyn 1
rowena 2
scary 1
seaside 2
see 3
seen 1
sense 2
settle 1
share 2
she 8
shop 1
shrimp 1
shunted 1
sister 2
sixth 2
so 1
spinster 1
spinsters 1
spiritlords 1
spirits 1
stories 3
suicide 1
sums 1
suspicious 1
take 1
tea 1
tell 1
tells 1
terrible 1
terrified 1
that 6
the 44
their 7
them 3
themselves 1
therefore 1
they 5
this 3
those 1
to 16
together 1
too 1
tormented 1
tortured 1
town 1
tribe 5
tribes 2
trouble 1
truth 1
turned 1
twice 1
uncanny 1
university 1
unnerved 1
unseen 1
unspeakable 1
up 1
upon 1
using 1
very 1
victim 1
village 1
violation 1
was 1
way 1
wealthy 1
were 1
when 1
where 1
whethers 2
which 1
whitby 6
who 3
whom 1
whose 1
widow 1
widowed 1
will 1
witchdoctor 1
with 10
woman 1
woo 1
would 1
year 1
young 1
youngest 1
