28911950
/m/063k9tw
/m/063k9tw
Gail Carriger
2009-09-30
a 6
accepted 1
accidentally 1
alexia 2
all 1
alternate 1
an 2
and 3
are 1
as 2
attacked 1
balance 1
becomes 1
beings 1
by 1
class 1
complicates 2
critical 1
decorum 1
delicate 1
disappearances 1
england 1
fact 1
father 1
for 1
functioning 1
further 1
had 1
has 1
her 5
high 1
himself 1
history 1
husband 1
in 3
increase 1
investigator 1
is 5
italian 1
kills 1
late 1
leaves 1
life 1
london 1
lord 1
maccon 1
maintaining 1
members 1
must 1
mystery 1
no 1
of 4
only 1
population 1
powers 1
prime 1
problems 1
proper 1
queen 1
rigid 1
searching 1
sends 1
set 1
several 1
she 5
social 2
society 2
solve 1
soul 1
soulless 2
standing 1
still 1
supernatural 1
suspect 1
system 1
tarabotti 1
that 2
the 5
unaffected 1
vampire 2
vampires 1
version 1
victoria 1
victorian 1
werewolf 1
werewolves 1
when 1
where 1
which 1
while 1
who 1
with 1
woman 1
