50376
/m/0db22
/m/0db22
Anne McCaffrey
1968-07
400nbspyears 1
a 16
abandoned 1
abilities 2
about 1
active 1
actually 1
adopting 1
after 1
against 1
ago 1
agree 1
allow 1
also 2
and 16
animal 1
appearance 1
are 3
as 9
at 2
attempt 1
attractive 1
back 1
batch 1
battle 1
be 2
become 1
becomes 1
before 1
begins 1
believed 1
benden 3
best 1
between 1
birthright 1
bond 1
both 2
bring 1
bronze 1
but 3
by 7
came 1
candidates 1
capacity 1
catches 1
centuries 1
chronicles 1
clumsy 1
code 1
coleader 1
combat 1
completely 1
continent 1
control 1
convinces 2
crucial 1
cruel 1
current 1
dangerously 1
defend 1
deserted 1
desperate 1
disbelief 1
disguising 1
do 1
domain 1
dragon 3
dragonet 1
dragonflight 1
dragonriders 2
dragons 1
dragonweyr 1
dream 1
drudge 1
due 1
duello 1
economically 1
egg 1
eggs 1
emotionally 1
empty 1
engineered 1
enough 1
escapes 1
even 1
explains 1
fall 1
family 2
far 1
fax 6
features 1
finds 1
first 2
five 4
flar 6
flight 1
following 1
for 3
forward 3
four 1
friend 1
from 1
future 1
general 2
give 1
go 1
golden 1
great 1
guards 1
guide 1
has 2
hatch 1
have 1
he 2
her 13
hereditary 1
herself 1
himself 1
his 1
history 2
hold 5
holder 1
hops 1
how 1
huge 1
hundred 1
impending 1
impress 1
impresses 1
in 7
including 1
increase 1
inefficient 1
influences 1
into 2
is 10
it 3
itself 1
kill 1
killed 1
killing 1
kylara 1
larger 1
last 3
later 1
leadership 1
legend 1
less 3
lessa 9
lord 1
make 3
makes 1
manages 1
manipulated 1
mating 1
mature 1
menial 1
missing 1
mnementh 2
much 1
myth 1
needed 1
new 3
newborn 1
noble 1
northern 1
not 3
notice 1
now 1
numbers 1
of 14
older 1
on 3
one 1
only 2
or 2
other 2
others 1
over 1
own 2
partly 1
pass 2
past 1
path 1
pern 2
pernese 1
planet 1
populace 1
possessing 1
potentially 1
present 1
prideth 2
provides 1
psychic 1
psychically 1
queen 4
ramoth 3
realises 1
reappearance 1
receded 1
recent 2
recently 1
recognizes 2
red 1
rediscovered 1
regain 1
reinforcements 1
related 1
reluctant 1
renounce 1
renouncement 1
reproduce 1
response 1
rest 1
rider 2
ruatha 3
rules 1
ruling 1
searching 1
see 1
sent 1
servant 1
she 7
simply 1
since 1
single 1
six 1
skill 1
skilled 1
slovenly 1
smaller 1
so 1
sole 1
some 1
somewhat 1
son 1
soon 1
star 1
stories 1
story 1
strain 1
strategy 1
strength 1
strenuous 1
strong 1
strongest 1
survives 1
survivor 1
takes 1
telepathic 2
ten 1
than 2
that 5
the 37
their 3
then 1
there 1
they 3
this 3
thread 3
threadfall 2
through 1
time 3
times 1
title 1
to 27
tradition 1
travels 1
turns 2
unprepared 1
unproductive 1
until 1
unusually 1
up 1
use 1
used 1
using 1
usurper 1
very 1
warn 1
was 1
watchwher 1
well 1
were 1
weyr 6
weyrleader 1
weyrs 4
weyrwoman 2
when 1
where 1
while 1
white 1
who 1
why 1
will 2
wingleader 1
with 2
work 1
workers 1
