7785913
/m/026czrp
/m/026czrp
Charles Frazier
2006-10
11 1
16 1
a 29
able 1
accepts 1
aces 1
across 2
adopted 1
adopts 2
affection 1
after 5
afternoon 1
again 1
against 1
aged 1
aimlessly 1
all 2
allows 1
almost 1
alone 2
along 2
aloof 1
also 2
america 1
american 1
amounts 1
an 1
and 28
another 3
any 1
aptitude 1
are 1
arguing 1
army 1
as 6
at 6
attached 1
attempts 1
away 1
back 1
bad 1
be 1
bear 3
beats 1
become 2
been 3
befriended 1
being 1
beloved 1
beyond 1
black 2
blood 1
books 1
borrow 1
both 1
boy 1
brazened 1
brief 1
build 1
built 1
business 1
but 2
buy 1
by 6
call 1
came 1
can 1
capacity 1
capitol 1
cause 1
chance 2
cherokee 5
chief 1
child 2
civil 1
claims 1
claire 11
collectors 1
comes 3
comfort 1
communicate 1
comprises 1
conspiring 1
consummate 1
contact 1
cooper 1
could 1
coupled 1
courtship 1
coves 1
cranshaw 1
customers 1
cut 1
daughter 2
days 1
deal 2
death 3
decides 1
demands 1
demonstrates 1
departs 1
determined 1
devastated 1
died 2
dies 1
displaces 1
down 1
dramatic 1
drastically 1
drugged 1
duel 1
during 1
edges 1
elegy 1
encounter 1
end 1
ends 2
entirety 1
entrepreneurship 1
epilogue 1
eventually 2
exclusive 1
experiences 1
extra 1
fact 1
falls 1
fatalism 1
father 1
featherstone 12
fifties 1
fighting 1
final 4
finally 1
financial 1
find 1
finds 1
first 1
following 1
for 8
forced 1
forces 1
forfeiture 1
formative 1
formidable 1
frequently 1
friends 1
from 7
frontier 1
frontiersman 1
fully 1
game 1
gets 1
girl 2
give 1
go 1
group 1
growing 1
grows 1
grudgingly 1
had 5
hand 1
happens 1
hardly 1
has 6
have 4
he 23
hears 1
her 6
herself 1
him 8
himself 1
his 22
home 3
horse 4
hosts 1
hotel 2
house 1
household 1
however 3
husband 1
in 14
indentured 1
informs 1
insistence 1
instantly 1
into 6
is 12
keeping 1
keeps 1
knifecut 1
land 4
language 1
large 2
later 1
learn 1
learns 1
leave 2
legal 2
legally 2
library 1
life 3
lobbies 1
local 1
lonely 1
long 2
loser 1
losing 1
loss 1
lost 2
love 3
make 1
man 1
manage 1
manages 1
many 3
marriage 1
married 1
marry 1
means 1
meets 2
member 1
memory 2
misadventures 1
miseries 1
mixed 1
money 3
more 5
mountains 1
mourning 1
move 1
much 1
murdered 1
named 1
nation 5
native 1
near 1
necessary 1
never 2
not 2
nothing 1
novel 2
occupied 1
of 30
older 1
on 5
one 2
only 2
opportunities 1
optimistic 1
or 1
order 1
other 1
out 2
overcomplexity 1
owes 1
owned 1
owner 1
pair 1
part 1
partly 1
partner 1
party 1
past 2
people 1
period 1
phenomenal 1
place 2
plains 1
plunges 1
portion 2
post 4
presumably 1
process 1
prologue 1
proportions 1
proposal 1
quickly 1
railroad 1
reading 1
recollection 1
recoup 1
reduced 1
reflects 1
rejects 1
remains 1
renowned 1
residents 1
retires 1
returns 1
rights 1
romantic 1
running 1
save 1
second 2
seems 1
selfconscious 1
sells 1
sends 1
sentence 1
servitude 1
she 4
should 1
since 1
sister 1
sixteen 1
sleeves 1
small 1
sold 1
some 2
someone 1
sometime 1
somewhat 1
son 2
speak 1
spending 1
spends 1
spirit 1
springs 1
state 1
states 1
still 1
stumbles 1
success 1
successful 1
suffered 1
suffers 1
sum 1
summer 1
summers 1
taken 1
takes 2
talk 1
tears 1
tells 1
than 1
that 8
the 55
their 4
them 2
then 1
there 2
they 2
thief 1
this 2
thrown 1
time 2
to 22
together 2
top 1
tracking 1
tract 1
trade 1
trading 4
traditional 1
trail 1
transactions 1
transportation 1
traumas 1
travels 1
tribal 1
tribe 2
tribes 1
twelveyearold 1
twentiethcentury 1
two 1
unenthused 1
unfamiliar 1
united 1
up 3
upon 2
use 1
visit 2
visits 1
wandering 1
wanders 1
war 1
warm 1
was 1
waverley 1
way 1
we 1
wed 1
well 2
when 5
where 1
which 7
while 2
white 1
who 5
whole 1
whom 2
wife 1
wilderness 1
will 20
wins 1
with 9
witnessed 1
woman 1
years 2
