3989782
/m/0bbbh4
/m/0bbbh4
Jeff Mariotte
2003-12-01
a 7
afar 1
age 1
and 4
angel 2
antiquities 1
arrival 1
aside 1
assume 1
at 2
attention 1
become 1
been 1
being 1
business 1
busy 1
by 1
can 1
card 1
centuriesold 1
cope 1
cozy 1
deal 1
decides 1
detective 1
differences 1
everywhere 1
fan 1
fight 1
finds 1
finster 1
foe 1
followed 1
for 3
from 1
gang 1
gets 1
has 2
her 1
investigations 1
is 3
its 1
killers 1
lady 1
later 1
least 1
like 1
likes 1
little 1
mildred 2
must 1
mystery 2
name 1
novels 1
of 5
off 1
offering 1
old 1
overcome 1
own 1
personal 2
poltergeists 1
private 1
problems 1
real 1
responsible 1
ruthless 1
services 1
set 1
seventyone 1
she 3
simple 1
so 1
soon 1
stolen 1
supernatural 1
team 1
temporarily 1
that 1
the 7
theft 1
their 1
they 3
time 1
to 3
truckload 1
try 1
valuable 1
wellmeaning 1
which 1
widow 1
with 3
would 1
years 1
