7454068
/m/02627h4
/m/02627h4
Lindsey Davis
1991
71 1
a 7
able 1
accused 1
across 1
ad 1
after 1
agreed 1
agrees 2
all 2
already 1
also 3
amongst 1
an 3
anacrites 2
and 14
anything 1
apartment 6
apparent 1
appius 1
are 1
arrested 1
arrival 1
arrive 1
arrives 5
as 4
asked 1
at 4
attempt 1
attempts 1
available 1
back 1
badly 1
baggage 1
bailed 1
banquet 1
be 3
beaten 2
becomes 1
been 4
before 1
begin 1
begins 2
behind 1
being 1
believes 1
believing 1
block 2
brings 1
bronze 1
brought 1
building 1
bullyboys 1
business 1
but 2
buy 1
by 6
caesar 1
can 2
capena 1
cause 1
charges 1
city 1
claims 1
clients 1
collapse 1
collapsed 1
comes 1
complete 1
completed 1
considers 1
continues 2
continuing 1
cook 1
course 1
court 2
crepito 1
currently 1
days 1
dead 2
decides 1
defaulting 1
demolition 1
despite 1
didii 1
dig 1
dinner 1
discover 1
discovers 2
distraught 1
due 1
during 2
earn 1
earned 1
emperor 2
end 1
enough 1
fact 1
failure 1
falco 16
family 1
felix 1
finally 3
find 1
finds 1
fish 1
for 9
former 1
forth 1
fountain 2
freed 1
freedom 1
friends 1
from 1
gate 1
gaulish 1
had 5
has 1
have 2
having 1
he 19
heading 1
helena 11
helped 1
her 1
higher 1
hill 1
him 6
himself 1
his 5
home 1
hope 1
hortensii 7
house 3
household 1
hunt 1
hyacinthus 1
imperial 1
imprisoned 1
impromptu 1
in 14
independent 1
inform 1
informs 2
inside 1
into 2
investigate 3
investigates 1
investigation 1
invited 2
is 20
just 1
justina 1
kill 1
killed 1
landlord 1
late 1
later 1
latumiae 2
lead 4
leave 1
live 3
living 1
lost 1
lover 1
marcus 1
marry 2
means 1
missions 1
money 1
more 2
mother 1
move 2
murder 1
near 1
new 2
news 1
no 1
not 1
novus 5
now 1
of 10
off 1
on 4
once 1
one 2
only 2
ordered 1
others 1
out 1
owed 1
owned 1
paid 1
palace 1
party 3
pay 1
petronius 1
pincian 1
plans 1
poisoned 3
pollia 2
possible 1
praetorians 1
present 1
prevented 1
previous 1
priscillus 1
prison 1
privy 1
promises 1
prove 1
provided 2
rank 1
real 1
reception 1
recovers 1
regarded 1
remains 1
rent 1
repays 1
responsible 1
resume 1
returning 1
returns 1
revenge 1
rome 1
room 1
sabina 3
same 2
sample 1
see 1
seems 1
senator 1
sends 1
set 1
severina 4
shadows 1
she 4
shoddy 1
slaves 1
so 1
son 1
spring 1
stolen 1
story 1
suspicion 1
takes 1
that 10
the 43
their 3
then 1
there 1
they 2
this 2
thugs 1
time 2
titus 3
to 33
together 2
too 1
turbot 2
two 1
unable 1
under 1
undertake 1
unlikely 1
unwed 1
up 2
viridovix 1
visit 2
wants 1
whatever 1
when 4
which 4
who 2
with 3
wives 1
work 1
working 2
zotica 1
