2487809
/m/07hclz
/m/07hclz
Jack Snow
1946
200 1
3 1
a 15
absence 1
accomplished 1
action 1
against 1
alligator 1
allows 1
an 4
and 35
another 1
antidote 1
ape 1
appoints 1
approach 1
are 14
arrivals 1
arrive 1
as 2
at 2
attack 2
attacking 1
attend 1
attendant 1
attention 1
back 4
ballroom 2
banquet 1
baum 1
baumcentric 1
beasts 1
beautiful 1
beauty 1
become 2
been 1
before 1
big 1
birds 2
black 2
blaze 1
blossom 2
blue 1
body 1
brilliant 1
burzee 1
but 3
butterfly 1
button 2
by 5
capable 1
carried 1
cave 2
celebrated 1
center 1
chapter 1
charlie 1
choice 1
choices 1
coming 1
concluding 1
confront 1
conjure 1
controlling 1
convincingly 1
council 1
counter 1
cowardly 1
creating 1
creatures 1
days 1
deep 1
delegated 1
discover 2
disguised 1
door 1
dorothy 9
duplicate 1
during 1
elevator 1
ends 1
enough 1
escaped 1
evaded 1
every 1
evil 1
expose 1
exposes 1
fairy 3
few 1
fierce 1
find 1
fly 1
flying 1
for 2
forest 1
forms 2
from 3
gale 1
garden 2
giant 1
gigantic 1
girl 1
glinda 2
gold 1
good 2
gorgeous 1
grand 2
green 1
grotesque 1
guardianship 1
habitually 1
had 1
has 2
have 2
head 2
held 1
her 7
herded 1
heroine 1
hidden 1
hilo 1
however 1
humans 1
hungry 1
hyena 1
illuso 5
imitating 1
imprisoned 1
imprisons 1
in 12
influence 1
interior 1
into 2
invitation 1
is 8
it 2
its 1
keeping 1
king 1
lair 1
largely 1
launch 1
leads 1
leave 1
led 1
library 1
light 2
like 1
lion 1
live 1
living 1
loathsome 1
lonely 1
looking 1
lurline 5
magic 6
magically 2
malicious 1
many 1
mass 1
mccarthy 1
mdash 2
mimic 1
mimics 10
minions 1
mirrored 1
mirrors 1
miss 1
motion 1
mount 5
mountain 1
negates 1
nonhuman 1
not 4
of 19
off 1
on 4
one 2
only 1
opens 1
order 1
originals 1
other 1
outer 1
over 1
oz 12
ozana 6
ozites 1
ozma 7
palace 1
paralyze 1
paralyzed 1
patchwork 1
people 3
pineville 2
places 1
plan 1
planning 1
play 1
plumage 1
power 1
powerful 1
press 1
primary 1
princess 2
puppet 2
queen 2
quickly 1
ra 5
red 2
reminds 1
residents 1
restored 1
restores 1
reveal 1
reverse 1
rewarded 1
royals 2
rule 1
rulers 1
scarecrow 1
search 1
sedated 1
seduced 1
see 1
sent 1
serpent 1
shadows 1
shape 1
shapes 1
shapeshifting 1
she 3
shift 1
shifts 1
shocked 1
simply 1
simultaneous 1
snow 2
so 1
spell 2
spells 1
spent 1
spider 1
spins 1
start 1
stems 1
stepping 1
stolen 1
story 3
subdue 1
surprised 1
suspicious 1
swans 1
take 1
takes 1
that 6
the 47
their 13
them 5
there 2
they 6
this 1
tied 1
tiger 1
to 23
toad 1
top 1
toto 1
transported 1
trick 1
two 1
umb 5
umbra 1
up 1
usual 1
wall 1
watch 1
waylay 1
web 1
wellmotivated 1
what 1
when 2
where 1
while 1
who 1
whom 1
will 1
wings 1
with 7
within 1
wizard 6
wooden 2
works 1
world 1
years 2
