6801841
/m/0gpn8l
/m/0gpn8l
Boris Akunin
1998
{"/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/05hgj": "Novel"}
a 25
about 1
absence 1
accompanied 1
accompanies 2
achieve 2
actually 1
admits 1
adrianople 1
advance 4
advances 1
advancing 2
after 3
against 2
agent 1
agree 1
agrees 1
all 3
ammunition 1
an 5
and 42
angrily 1
anwar 12
apparently 1
appears 1
approaches 1
are 5
armies 1
army 10
arrival 1
arrive 1
arrived 1
article 1
artillery 1
as 9
asked 1
asks 1
assumed 1
at 6
attack 7
attempt 2
attempts 1
away 1
back 3
bank 2
barbaric 1
based 2
battalion 1
battlefield 1
be 5
because 2
becomes 1
been 6
before 2
being 1
besiege 1
birthplace 1
bloodily 1
board 1
boards 1
bosnia 1
both 1
break 1
breakout 1
breaks 2
bringing 2
british 1
bromfield 2
bucharest 1
building 1
bulgaria 2
bulgarian 1
busy 1
but 11
by 9
byline 1
camp 1
can 2
cannot 1
cant 1
carnage 1
case 1
chance 1
change 2
changed 1
characters 1
charged 1
charismatic 1
charles 3
checking 1
chess 1
cipher 1
cities 1
city 2
clear 2
club 1
coast 1
colonel 3
commence 1
concentrate 1
condemnation 1
conducting 1
confirmed 1
confuse 1
congratulates 1
constantinople 3
conversation 1
convinced 1
correctly 1
correspondents 1
count 2
counters 1
crying 1
cryptographer 1
dashing 1
data 1
december 1
declared 1
deep 1
deeply 1
defeat 2
defeating 1
defend 1
defenses 1
delivers 1
despite 1
despotic 1
determines 1
development 1
dhevrais 2
did 1
dignified 1
diplomatic 1
directing 1
disappeared 1
disappears 2
dispatched 1
distant 1
distracted 1
diversion 1
doing 1
dostoyevsky 1
down 1
drags 1
draws 1
driven 1
due 2
duel 1
duties 1
dying 1
each 1
earliest 1
easily 1
easy 1
effendi 2
effort 1
empire 1
encoded 1
encounters 1
encrypting 1
end 1
ended 1
ending 1
ends 3
english 1
entering 1
enters 1
enthusiastic 1
entourage 1
erast 1
europe 1
european 1
even 2
ever 1
everything 1
exemplified 1
expansion 1
explains 1
fail 1
failed 1
fandorin 16
farthest 1
fatherland 1
favorable 1
feeling 1
feelings 1
fianc 1
fiance 3
fierce 1
fight 2
fighting 1
filed 1
finding 1
finds 1
fire 1
first 2
fleet 1
follow 1
following 1
for 10
force 1
forced 1
forget 1
formations 1
forward 1
fray 1
french 3
friend 1
from 8
further 1
gaining 1
gambit 1
gendarme 1
