853874
/m/03hdtr
/m/03hdtr
V.S. Naipaul
1961
{"/m/02xlf": "Fiction"}
a 24
abusive 1
advancement 1
advances 1
advises 1
africa 1
ajodha 2
alcoholic 1
allows 1
also 1
among 1
an 2
and 23
apprenticed 1
are 1
as 5
asia 1
at 1
attempt 1
attempts 2
attending 1
aunt 1
away 1
bad 2
be 5
bears 1
becomes 6
becoming 1
believing 1
bhandat 1
big 1
birth 1
biswas 11
born 3
boy 2
brother 1
brothers 1
build 2
business 1
but 5
calf 2
call 2
can 2
cannot 1
capildeo 1
care 1
cast 1
children 1
client 1
collapsingconspires 1
comes 1
communal 1
considered 1
daughter 1
days 1
deal 1
decaying 1
decides 1
deep 1
despite 1
dissolution 1
distracted 1
does 1
down 1
drag 1
drawn 1
drives 1
drowns 1
eat 1
economic 1
education 1
encounters 1
exist 1
extra 1
family 4
father 3
fear 1
few 1
finally 1
finger 1
fish 1
for 1
form 1
fortune 1
four 1
friend 1
from 5
fulfilling 1
further 1
get 1
go 1
guaranteed 1
has 2
have 1
he 12
helps 1
her 1
hides 1
him 4
hindu 1
his 18
house 4
household 2
immigrants 1
in 11
inauspicious 1
indelible 1
independence 2
indian 1
instinct 1
into 3
is 17
it 4
its 2
job 1
journalist 1
kept 1
later 1
leads 2
lecher 1
levels 1
liar 1
life 1
like 1
live 3
lived 1
make 1
man 2
marriage 1
married 1
member 1
merit 1
misinterpreted 1
modern 1
mohun 3
more 1
mother 2
mr 10
naipaul 1
natural 1
neighbour 1
nerve 1
never 1
nevertheless 1
newly 1
not 2
notion 1
now 1
obsessed 1
odds 1
of 11
off 1
offered 1
old 1
older 1
on 2
once 1
only 1
oppressive 1
or 1
origin 1
other 1
out 2
overbearing 1
own 5
owning 1
pandit 1
parents 1
part 1
particularly 1
place 3
plot 1
poor 1
possible 1
possibly 1
prematurely 1
prophecy 1
prophesies 1
proposal 1
pundit 3
punishment 1
puts 1
realizing 1
rejects 1
relatives 1
represents 1
resemblance 1
result 1
right 1
romance 1
rural 1
save 1
school 2
seen 1
sent 1
set 1
shama 2
signwriting 1
sister 1
slight 1
something 3
son 1
spendthrift 1
stop 1
stream 1
struggle 1
subordinate 1
success 1
sure 1
symbol 1
synecdoche 1
tara 1
tending 1
terms 1
than 1
that 9
the 28
their 1
then 1
they 1
thinking 1
this 1
through 2
throughout 1
thus 1
to 21
traditional 2
trees 1
trinidad 2
tulsi 3
tulsis 3
two 1
uncle 1
unhappy 1
up 1
usually 1
varying 1
very 1
wander 1
wants 1
watching 1
water 4
way 2
wealthy 1
wedding 1
well 2
which 7
while 2
who 2
why 1
wife 1
will 2
with 10
withdrawn 1
without 1
world 2
worldthough 1
wrong 1
years 1
young 1
