3989961
/m/0bbby0
/m/0bbby0
Boris Strugatsky

2nbspkm 1
87 1
a 22
abilities 1
able 2
about 2
acting 1
active 1
actually 1
afraid 1
after 4
again 1
allegedly 1
almost 1
amorphous 1
and 30
animals 1
animated 1
another 1
any 1
are 9
around 2
arrive 1
as 6
assassination 1
at 3
athos 17
attacked 2
attempts 1
attracting 1
away 1
back 1
bacteria 1
bandits 1
base 10
battle 2
be 3
bearing 1
because 3
becomes 1
before 3
being 1
believes 1
believing 1
bioblocade 1
biological 2
biologically 1
biologist 1
biologists 3
biosphere 1
birth 1
breed 1
brief 1
broken 4
brought 1
built 1
but 4
by 7
calling 1
calls 2
can 2
capture 1
captured 1
caused 1
changing 1
childhood 1
children 4
citing 1
city 3
claimed 1
clothes 1
clothing 2
communication 2
compels 1
completely 1
consider 1
continent 1
control 3
conversation 1
covered 1
crag 2
crash 1
creature 1
creatures 1
dangerous 1
dangers 1
day 1
dead 4
deaths 2
devils 1
die 2
direction 1
director 2
disappear 1
diverse 1
divided 1
do 2
does 1
droid 1
droids 1
drown 1
during 1
earth 1
eat 1
eating 1
encourages 2
end 1
enemy 1
engulfed 1
enough 1
entire 1
escape 1
even 1
every 1
experiences 1
expired 1
face 1
famous 1
fear 1
feeling 1
female 1
fight 1
find 1
finds 1
first 1
fist 2
flees 1
flora 1
fog 2
foggy 1
follow 1
follows 1
food 1
for 5
forest 18
friend 1
from 9
front 2
gamekeeper 1
get 1
given 1
gives 1
glorious 4
gnedykh 5
go 1
goes 1
gorbovsky 4
ground 1
group 1
grow 2
hand 1
has 1
have 2
he 13
helicopter 1
help 1
helpmates 4
her 1
hides 1
high 1
him 2
his 6
hopes 1
houses 1
how 1
human 1
humans 2
hunt 1
hunter 1
hunting 1
hurtmartyr 2
ill 1
important 1
in 24
including 1
influence 1
information 1
into 2
is 19
it 5
its 1
itself 1
journey 1
karl 1
kills 1
laboratory 1
lake 2
last 1
led 1
leg 4
leonid 1
life 2
likely 1
little 1
live 1
living 3
located 1
made 1
make 1
many 1
maps 1
mass 1
meal 1
means 1
meet 1
meets 1
memory 1
men 2
middle 1
mikhail 1
mind 1
minutes 1
mistake 1
morning 1
most 1
mother 1
move 3
murder 1
mutable 1
mysterious 2
named 1
natives 1
nava 7
near 1
negligent 1
never 1
next 1
nobody 1
nonsexually 1
not 5
novel 4
now 2
object 1
observer 1
observing 1
obsolete 1
occurred 1
occurring 1
of 22
on 7
one 5
ones 4
or 1
organism 2
origin 1
other 3
others 1
otherwise 1
out 1
over 1
overall 1
overcoming 2
pain 1
pandora 2
parent 1
partially 1
participating 1
parts 1
paul 3
people 3
place 3
planet 1
planned 1
prevent 1
previous 1
process 3
processes 1
profess 1
protected 1
pseudopods 1
purposes 1
rapidly 1
reach 1
realize 1
recognizes 1
reconnaissance 1
records 1
referred 1
remembers 1
replaced 1
resort 1
responsible 1
return 3
returned 1
returns 1
rumored 1
run 1
safety 1
same 1
saw 1
scalpel 2
scene 1
section 1
sector 1
see 1
seen 1
sees 1
segment 1
sent 1
separates 1
serious 1
seriously 3
serve 1
serves 1
set 1
several 3
she 3
show 1
sidorov 1
signal 1
signs 1
since 2
single 1
sinking 2
site 1
slightly 1
so 2
some 3
species 1
sport 1
staff 1
starts 1
states 1
stays 1
stranded 1
such 2
supply 1
take 1
taking 1
talk 2
that 11
the 86
them 4
themselves 3
there 2
these 2
they 9
thing 1
thinks 1
this 2
three 1
to 28
too 1
took 1
top 1
travel 1
trees 3
tribe 1
tries 1
trip 3
troubles 1
two 4
unable 1
uncontrollable 1
understand 1
understands 1
unfamiliar 2
uniformly 1
unite 1
unknown 1
unspecified 1
until 1
up 3
upset 1
used 1
useless 1
valentine 1
video 1
village 8
villagers 2
villages 2
violet 2
visions 1
wakes 1
walking 1
want 1
wants 3
was 4
water 2
weakened 1
went 1
were 1
when 5
where 4
which 3
while 2
white 1
who 5
whom 1
wife 1
will 2
with 4
without 1
woman 1
women 6
years 1
