6620794
/m/0gf3sq
/m/0gf3sq
Abha Dawesar
2005
{"/m/02xlf": "Fiction"}
23 1
34babyji34 1
34divorced 1
34liaison34 1
34maybe34 1
34mistress34 1
34the 1
a 17
able 3
about 4
absolutely 1
academic 1
acts 1
adhikari 2
advances 1
afraid 1
after 1
again 1
against 2
age 2
alcoholic 1
all 3
all34 1
already 1
also 2
although 2
always 1
amounts 1
ample 1
an 1
anamika 14
anamika3s 3
and 17
animal 1
another 1
anything 1
apartment 1
are 3
as 5
asks 1
aspires 1
associates 1
assume 1
at 4
aware 1
away 2
back 1
backdrop 1
be 4
beaten 1
beautiful 1
beauty 1
bed 1
bedroom 1
been 3
beerwhich 1
being 3
believes 1
best 1
between 2
biting 1
bitten 1
blood 1
bloomers 1
body 1
both 1
boy 1
boyfriends 1
brain 1
breaking 1
breathing 1
breathless 1
bright 1
budding 1
but 6
by 2
calls 1
carnally 1
caste 2
caused 1
challenged34 1
chapter 2
choice 1
class 1
classes 1
classmates3 1
closed 1
college 1
commission 1
completely 1
completion 1
concludes 1
confident 1
conflicted 1
consider 1
constantly 1
contribute 1
contributing 1
could 3
couldnt 1
country 2
course 1
cries 1
danger 1
daughter 1
despite 1
didnt 1
different 1
dinner 1
discovered 1
disruption 1
divorced 1
does 4
doesand 1
doing 1
down 1
drain 1
drink 1
each 1
education 1
end 2
endeavours 1
english 1
enjoying 1
even 2
evening 1
ever 1
every 1
excellent 1
exhaustion 1
expected 1
explore 1
eyes 1
family3s 1
far 1
feels 1
finally 1
finds 1
finger 2
first 1
flesh 1
floor 1
for 5
force 1
forces 1
form 1
freethinking 1
friend 1
friends 1
from 2
fucked 1
gather 1
gathered 1
gentle 1
get 1
girl 2
girls 1
go 2
goes 1
gone 1
good 1
grades 1
graduate 1
groups 1
grow 1
grownups 1
had 6
hand 1
has 2
have 4
head 1
heavily 1
her 35
herself 5
high 1
hindi 1
his 1
holiday 1
homes 1
horrified 1
house 1
however 2
howl 1
hunted 1
hurts 1
husband 1
i 24
if 5
illiterate 1
immersed 2
in 13
india 6
indian 2
interests 1
intimacies 1
is 14
it 4
jhuggi 1
joint 1
just 2
kasauli 2
kick 1
kissed 1
know 1
known 1
knows 1
lady 1
latter 2
learned 1
least 1
lesson 1
let 2
likens 1
lips 2
livein 1
lives 1
love 2
lovers 1
lower 1
makes 2
male 2
man 1
mandal 1
maternal 1
me 3
means 1
moans 1
modernization 1
moral 1
morally 1
more 3
move 2
mr 1
mrs 1
much 3
muster 1
my 10
myself 1
mystery 1
narrator 1
native 1
naturally 1
neighbourhood 1
newfound 1
night 1
noncommittal 1
none 1
normal 1
not 5
noticed 1
novel 1
obliged 1
occasional 1
occasionally 1
of 26
off 1
offer 1
okay 1
on 6
one 4
only 4
opportunity 1
opposite 1
or 3
order 1
ordered 1
ordinary 1
otherwise 1
out 3
over 1
own 3
owned 2
parents 3
particular 1
parts 1
passes 1
perfect 1
person 2
physics 1
playboy 1
please 1
pleasure 1
politely 1
position 1
prefect 1
prepared 1
prettier 1
private 1
privileged 1
protestations 1
protests 1
provides 1
pulled 1
pursue 1
pursuing 1
pushed 1
quantity 1
question 1
quite 1
rani 5
rani3s 1
rape 1
really 1
recognize 1
recommendations 1
refuses 1
regularly 1
reject 1
rejects 1
relationship 1
replaced 1
replies 1
rescued 1
return 1
rigid 1
rolled 1
room 1
routine 1
said 2
says 1
school 3
scream 1
second 1
see 1
seek 1
self 1
selfimmolation 1
selfstudy 1
seriousness 1
servant 2
servant3s 2
set 1
several 2
sharma 2
sharmas 1
she 25
sheela 4
short 1
should 2
sixteen 1
sleep 1
slid 1
slow 1
smoke 1
sneaks 1
so 2
society 2
some 1
someone 1
speak 1
spend 1
spends 1
spite 1
start 1
states 1
statutory 1
sticks 1
stigmatised 1
stop 2
student 1
students 2
studies 1
study 1
submissive 1
sure 1
suspects 1
suspended 1
sweet 1
system 1
teach 1
teeth 1
tell 1
tentative 1
than 4
that 10
the 35
their 4
them 2
there 1
they 1
thighs 1
this 3
though 1
time 4
to 29
together 1
too 2
traditional 1
travelling 1
trigger 1
tripta 2
twice 1
two 1
ultimately 1
unaware 1
underage 1
united 1
unknown 1
unraveling 1
up 2
urgently 1
use 1
used 1
usual 1
very 1
want 1
wanted 1
was 9
wasnt 1
way 1
wealthy 1
weeks 1
well 2
what 1
when 4
where 1
whether 1
which 2
while 1
whispered 1
who 3
whom 2
will 2
with 16
within 1
woman 3
would 2
xix 1
xviii 1
yearold 2
yet 1
you 1
young 1
youre 1
