256075
/m/01lyzd
/m/01lyzd
Theodor Fontane
1894
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 14
about 5
accept 1
according 1
acknowledge 1
acquaintance 1
action 1
actions 1
adjusts 1
adultery 2
aftermath 1
agrees 1
alienated 1
all 1
also 1
although 2
an 2
and 19
angrily 1
annie 2
announces 1
annulled 1
any 1
apart 1
appear 1
are 3
aristocracy 1
arrange 1
arrival 1
as 4
ascended 1
ascent 1
at 4
atmosphere 1
attention 1
attitude 1
attracted 1
away 3
back 1
baltic 1
be 2
because 1
become 1
bedevilled 1
been 2
before 1
beginning 1
believing 1
berlin 2
besmirched 1
brief 1
brighter 1
but 5
by 5
cannot 1
career 1
carefree 1
caused 1
cavalier 1
ceases 1
censure 1
century 1
challenges 1
child 1
closes 1
come 1
companion 1
compared 1
completely 1
consents 1
constructs 1
consummated 1
correspondence 1
countrys 1
couple 1
course 1
crampas 8
crisis 1
custody 1
dare 1
daughter 3
days 1
debonair 1
declining 1
deeply 1
delicately 1
delight 1
depths 1
despair 1
despite 1
develops 1
devices 1
discomfort 1
discovers 1
disdain 1
disorder 1
disowned 1
disquiet 1
divorce 1
do 1
does 2
dominates 1
down 1
duel 1
during 1
dying 1
edifying 1
educating 1
effi 11
effis 2
embedded 1
emotional 1
enamored 1
encounter 1
endeavors 1
ending 1
ends 1
enough 1
estate 1
even 1
eventually 1
expresses 2
extramarital 1
family 2
fears 2
feeling 2
feelings 1
fellows 2
final 1
finally 2
finds 1
for 7
forlorn 1
from 4
full 1
further 1
ghost 1
given 1
gradual 1
growing 1
grown 1
guilty 1
habit 1
had 1
hardships 1
has 8
haunted 1
have 2
he 6
heaped 1
help 1
her 28
hierarchy 2
him 1
his 10
hohencremmen 1
home 1
honour 1
house 1
however 2
husband 2
immature 1
immediately 1
importance 1
in 18
indeed 1
inform 1
innstetten 9
insignificant 1
instetten 1
intractable 1
inwardly 1
is 12
it 1
kessin 3
killed 1
late 1
later 3
laws 1
lay 1
learn 1
learns 1
leaves 1
lecherous 1
life 1
live 1
living 1
local 1
long 1
major 1
make 1
marriage 2
married 1
matches 1
may 2
meantime 1
meeting 1
mercurial 1
midst 1
miserably 1
more 1
mother 2
move 1
nervous 1
nineteenth 1
nonetheless 1
not 5
notions 1
notorious 1
novel 3
novels 1
of 21
old 1
on 1
one 2
only 1
opprobrium 1
ostracism 1
out 1
over 1
overt 1
own 2
parental 1
parents 3
passes 1
past 1
patronising 1
people 1
perceives 1
perhaps 1
persuaded 1
plan 1
pleads 1
plumbs 1
political 3
possible 1
practically 1
presence 1
prevailing 1
public 1
publicly 1
purpose 1
question 1
reader 1
realise 1
reassures 1
reclusive 1
recover 1
recovery 1
refuse 1
regrets 1
rejoice 1
relationship 2
relieved 1
relocated 1
repentance 1
reply 1
reputation 1
resolves 1
responds 1
responsibility 1
rest 1
reunion 1
right 1
scene 1
scorns 1
second 1
seems 1
serenely 1
shame 2
she 9
shortly 1
shows 3
since 1
slightly 1
small 1
social 2
someone 1
sorrow 1
soul 1
still 1
strike 1
subsequently 1
successfully 1
suffers 1
summons 1
suspects 1
symmetrical 1
take 1
taken 1
temporarily 1
temporary 1
tense 1
that 9
the 35
their 6
them 2
therefore 1
they 3
things 1
this 2
thoughts 1
throes 1
time 1
to 21
told 1
town 2
tragedy 1
turned 1
ultimately 1
unhappy 1
untroubled 1
up 3
upon 1
vaguely 1
values 1
very 1
voices 1
was 1
way 1
weeks 1
well 1
were 1
when 3
where 1
whereas 1
which 4
while 1
whole 1
whom 1
whose 1
wife 1
with 8
within 1
womanising 1
womanizer 1
worry 1
would 1
years 4
young 2
