1705774
/m/05pxpt
/m/05pxpt
Louis Cha
1967
{"/m/08322": "Wuxia"}
a 21
abandons 1
abbot 1
accepts 1
accuse 1
actions 1
actually 1
advances 1
after 4
against 1
agency 1
aggravate 1
all 2
alliance 5
alone 1
already 1
also 2
among 1
an 7
and 39
announced 1
announces 1
appointed 1
are 2
area 1
around 1
artists 2
arts 1
as 7
assaulted 1
assembly 2
associations 1
at 2
attack 1
attempt 1
attempts 1
attend 1
attitude 1
avenge 1
bandit 1
based 1
be 1
because 1
become 1
becomes 2
been 1
before 1
befriending 1
befriends 1
being 2
between 2
bixie 4
blind 1
bloodbath 1
boguang 1
both 3
break 1
breaks 1
brings 2
brothers 1
brutally 1
bubai 2
buqun 13
but 7
by 14
called 2
canghai 1
captivity 1
carefree 1
carvings 2
castrated 1
caused 1
causes 1
cave 2
ceremony 1
chief 2
chong 17
climaxes 1
code 1
coerces 1
come 1
commit 1
community 2
completely 1
composed 1
conflict 1
constantly 1
control 1
conversation 1
cornered 1
counter 1
coveted 1
crucial 1
cult 6
cure 2
daughter 3
death 1
decides 1
decision 1
declines 1
deems 1
defeat 2
deputy 1
despair 1
development 1
die 1
dies 1
disciple 1
discovers 1
disguise 1
disillusioned 1
distrust 1
does 1
dongfang 2
down 1
dozens 1
dugu 1
dungeon 1
dying 1
each 1
elaborate 1
elder 1
eldest 1
embroiled 1
encounters 1
enemies 1
entrance 1
escort 1
event 1
eventually 1
everyone 1
expelled 1
fail 1
falling 1
familiarising 1
family 3
fashion 1
father 1
fellow 1
feng 1
finale 1
find 1
five 4
followers 1
follows 1
for 6
former 1
formidable 1
four 2
fragmented 1
frequent 1
from 10
fuwei 1
fuzhou 1
gets 1
great 1
grown 1
guqinplaying 1
hand 1
hangzhou 1
happily 1
happygolucky 1
has 5
have 2
he 15
head 2
hears 1
heirloom 1
helped 1
helps 2
heng 3
heretical 1
him 9
himself 4
his 22
holy 3
honourable 1
hua 5
husbands 1
hypocrite 1
immortals 1
imprisoned 1
in 15
initial 1
injured 1
injuries 1
injury 1
instead 1
interest 1
internal 1
intimidate 1
into 4
intoxicated 1
invites 1
is 10
it 1
its 2
jianghu 3
jing 1
join 2
kill 1
known 1
knows 1
late 1
later 3
latter 2
leader 4
leaders 1
leadership 1
leads 1
learn 2
learns 2
leave 1
leaves 1
leaving 2
lengchan 3
lets 1
lin 11
linghu 24
lingshan 2
lins 1
liquor 1
liu 4
living 1
love 1
lowlifes 1
luoyang 1
maiden 1
making 1
manor 1
manual 5
marriage 1
marries 1
martial 3
massacre 1
mastered 2
masters 1
meantime 1
meets 4
megalomania 1
members 5
men 1
moment 1
monastery 1
moon 3
mount 9
mountains 4
moves 1
much 1
murdered 1
music 1
mysteriously 1
named 1
new 2
newly 1
nine 1
nominated 1
north 2
not 2
notorious 1
novel 1
now 2
nun 2
nuns 1
of 32
offers 1
old 1
on 3
once 1
one 1
only 1
orphaned 1
orthodox 5
other 4
ousted 1
out 3
outcast 1
overcome 1
overhear 1
owing 1
own 1
paranoia 1
pass 1
passed 1
passes 1
peach 1
penchant 1
persuade 1
piece 1
pingzhi 6
plotted 1
plotting 1
politicking 1
power 3
practises 1
present 1
protagonist 1
publicly 1
pugilists 2
punish 1
qingcheng 2
qingyang 1
qu 3
quietly 1
reclusive 1
recuperate 1
reflect 1
regain 1
ren 12
replace 1
rescued 1
rescues 1
respected 1
respective 1
retire 1
retirement 1
return 1
reveals 1
revenge 1
revolves 1
righteous 1
romantic 1
runs 1
saves 2
saving 1
scattered 1
scheme 1
score 1
secluded 1
secret 1
sect 11
sects 9
see 1
seeks 1
seemingly 1
seize 2
selfproclaimed 1
seriously 1
several 1
sexual 1
shaolin 3
she 4
sides 1
sinks 1
six 1
skill 3
skills 1
slaughter 1
slaying 1
sole 1
some 1
song 1
south 1
special 1
stabbed 1
star 1
starts 1
stay 1
story 1
stranger 1
strangers 1
strife 1
stroke 1
struggles 1
student 1
students 1
submit 1
sucking 1
suicide 1
sun 3
surprise 1
survivor 1
sword 5
swordplay 7
swords 1
swordsman 1
sworn 1
teacher 3
teaches 1
techniques 1
temporary 1
that 5
the 70
their 3
them 1
themselves 1
then 2
there 1
thereafter 1
they 2
this 1
though 1
three 1
through 1
tian 2
tired 1
to 34
together 1
trains 1
trapped 1
treachery 1
tries 2
triggered 1
trouble 1
troubled 1
truce 2
turns 2
unfaithful 1
united 1
unknowingly 1
unorthodox 3
up 1
use 1
uses 1
using 2
valley 1
was 1
wedding 1
weird 1
well 1
wentian 2
were 1
when 1
where 3
which 2
while 3
who 9
whom 1
whose 1
wife 2
with 8
witness 1
woman 1
wounds 1
woxing 5
wulin 2
xiang 3
xiaoao 1
yang 1
year 1
years 1
yijin 1
yilin 2
yingying 7
young 2
yu 1
yue 16
zhengfeng 2
zuo 5
